Ashland PE Ratio Historical Data,Ashland PE Ratio Historical Data,Ashland PE Ratio Historical Data,Ashland PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,87.78,,29.76
2024-06-30,94.06,$2.95,31.89
2024-03-31,96.93,$3.77,25.71
2023-12-31,83.59,$2.42,34.54
2023-09-30,80.59,$2.56,31.48
2023-06-30,85.37,$16.32,5.23
2022-09-30,92.29,$16.21,5.69
2022-06-30,99.81,$15.89,6.28
2022-03-31,95.02,$16.91,5.62
2021-12-31,103.61,$4.51,22.97
2021-09-30,85.52,$4.34,19.7
2023-03-31,100.44,$4.53,22.17
2021-06-30,83.69,$2.93,28.56
2021-03-31,84.63,$2.25,37.61
2020-12-31,75.26,$-8.02,0.0
2020-09-30,67.15,$-8.40,0.0
2020-06-30,65.18,$-1.76,0.0
2020-03-31,47.04,$-1.32,0.0
2019-12-31,71.63,$9.48,7.56
2019-09-30,71.84,$8.19,8.77
2019-06-30,74.28,$1.63,45.57
2019-03-31,72.3,$1.14,63.43
2018-12-31,65.46,$1.10,59.51
2018-09-30,77.12,$1.79,43.08
2018-06-30,71.68,$0.72,99.56
2018-03-31,63.79,$-0.38,0.0
2017-12-31,64.87,$-0.06,0.0
2017-09-30,59.4,$-0.00,0.0
2017-06-30,59.65,$-3.54,0.0
2017-03-31,54.56,$-1.87,0.0
2016-12-31,48.01,$-1.96,0.0
2016-09-30,50.76,$-0.60,0.0
2016-06-30,50.24,$3.04,16.53
2016-03-31,48.14,$3.47,13.87
2015-12-31,44.96,$5.35,8.4
2015-09-30,44.05,$4.46,9.88
2015-06-30,53.36,$6.21,8.59
2015-03-31,55.73,$5.90,9.45
2014-12-31,52.43,$2.07,25.33
2014-09-30,45.57,$3.01,15.14
2014-06-30,47.6,$7.23,6.58
2014-03-31,43.55,$7.53,5.78
2013-12-31,42.48,$8.76,4.85
2013-09-30,40.33,$8.62,4.68
2013-06-30,36.28,$-0.02,0.0
2013-03-31,32.16,$0.33,97.45
2012-12-31,34.7,$0.77,45.07
2012-09-30,30.8,$0.28,110.01
2012-06-30,29.73,$0.39,76.22
2012-03-31,26.1,$-0.42,0.0
2011-12-31,24.36,$2.87,8.49
2011-09-30,18.75,$3.19,5.88
2011-06-30,27.36,$7.53,3.63
2011-03-31,24.39,$8.29,2.94
2010-12-31,21.42,$4.17,5.14
2010-09-30,20.48,$4.18,4.9
2010-06-30,19.44,$4.44,4.38
2010-03-31,22.03,$3.26,6.76
2009-12-31,16.52,$3.64,4.54
2009-09-30,17.98,$3.27,5.5
