RB Global PE Ratio Historical Data,RB Global PE Ratio Historical Data,RB Global PE Ratio Historical Data,RB Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,80.54,,45.25
2024-06-30,76.1,$1.78,42.75
2024-03-31,75.91,$1.66,45.73
2023-12-31,66.4,$0.85,78.12
2023-09-30,61.78,$0.84,73.54
2023-06-30,59.03,$0.92,64.16
2023-03-31,55.1,$0.98,56.23
2022-12-31,55.25,$2.86,19.32
2022-09-30,59.4,$2.73,21.76
2022-06-30,61.62,$2.64,23.34
2022-03-31,55.67,$2.71,20.54
2021-12-31,57.48,$1.36,42.27
2021-09-30,57.7,$1.53,37.71
2021-06-30,55.25,$1.65,33.48
2021-03-31,54.37,$1.59,34.2
2020-12-31,64.34,$1.55,41.51
2020-09-30,54.63,$1.58,34.58
2020-06-30,37.53,$1.40,26.81
2020-03-31,31.25,$1.40,22.32
2019-12-31,39.09,$1.36,28.74
2019-09-30,36.14,$1.21,29.87
2019-06-30,29.94,$1.19,25.16
2019-03-31,30.48,$1.12,27.21
2018-12-31,29.18,$1.11,26.29
2018-09-30,32.06,$1.13,28.37
2018-06-30,30.13,$1.01,29.83
2018-03-31,27.65,$0.75,36.87
2017-12-31,26.16,$0.69,37.91
2017-09-30,27.46,$0.61,45.01
2017-06-30,24.81,$0.47,52.78
2017-03-31,28.24,$0.68,41.54
2016-12-31,29.03,$0.85,34.15
2016-09-30,29.81,$1.02,29.23
2016-06-30,28.57,$1.26,22.68
2016-03-31,22.79,$1.32,17.27
2015-12-31,20.15,$1.27,15.87
2015-09-30,21.5,$1.11,19.37
2015-06-30,23.06,$1.01,22.83
2015-03-31,20.5,$0.94,21.81
2014-12-31,21.98,$0.85,25.86
2014-09-30,18.2,$0.89,20.45
2014-06-30,19.92,$0.95,20.97
2014-03-31,19.39,$0.87,22.29
2013-12-31,18.32,$0.87,21.06
2013-09-30,16.02,$0.77,20.81
2013-06-30,15.15,$0.70,21.65
2013-03-31,17.01,$0.71,23.95
2012-12-31,16.29,$0.75,21.71
2012-09-30,14.9,$0.79,18.87
2012-06-30,16.37,$0.77,21.26
2012-03-31,18.2,$0.73,24.94
2011-12-31,16.84,$0.72,23.39
2011-09-30,15.32,$0.60,25.53
2011-06-30,20.76,$0.67,30.98
2011-03-31,21.17,$0.67,31.6
2010-12-31,17.26,$0.63,27.4
2010-09-30,15.47,$0.71,21.79
2010-06-30,13.49,$0.70,19.27
2010-03-31,15.86,$0.82,19.35
2009-12-31,16.44,$0.89,18.48
