BOK Financial PE Ratio Historical Data,BOK Financial PE Ratio Historical Data,BOK Financial PE Ratio Historical Data,BOK Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,114.66,,16.08
2024-06-30,91.13,$7.13,12.78
2024-03-31,90.96,$6.86,13.26
2023-12-31,84.11,$8.08,10.41
2023-09-30,77.94,$9.14,8.53
2023-06-30,78.23,$9.06,8.63
2022-12-31,99.28,$7.70,12.89
2022-09-30,84.56,$6.90,12.26
2022-06-30,71.52,$7.01,10.2
2022-03-31,88.36,$7.79,11.34
2021-12-31,98.69,$9.28,10.64
2023-03-31,81.16,$9.67,8.39
2021-09-30,83.37,$9.45,8.82
2021-06-30,80.15,$8.90,9.01
2021-03-31,82.2,$7.42,11.08
2020-12-31,62.63,$6.20,10.1
2020-09-30,46.75,$5.55,8.42
2020-06-30,50.79,$5.36,9.48
2020-03-31,37.91,$6.37,5.95
2019-12-31,77.35,$7.03,11.0
2019-09-30,69.62,$6.97,9.99
2019-06-30,65.98,$6.76,9.76
2019-03-31,70.86,$6.58,10.77
2018-12-31,63.35,$6.65,9.53
2018-09-30,83.57,$6.26,13.35
2018-06-30,80.35,$5.78,13.9
2018-03-31,84.24,$5.38,15.66
2017-12-31,78.18,$5.12,15.27
2017-09-30,75.03,$4.77,15.73
2017-06-30,70.48,$4.59,15.36
2017-03-31,65.23,$4.24,15.38
2016-12-31,68.83,$3.78,18.21
2016-09-30,56.83,$4.11,13.83
2016-06-30,51.33,$4.13,12.43
2015-12-31,48.16,$4.21,11.44
2015-09-30,51.81,$4.25,12.19
2015-06-30,55.36,$3.80,14.57
2015-03-31,48.39,$3.74,12.94
2014-12-31,47.12,$3.76,12.53
2016-03-31,44.39,$3.94,11.27
2014-09-30,51.85,$4.36,11.89
2014-06-30,51.64,$4.37,11.82
2014-03-31,53.2,$4.43,12.01
2013-12-31,50.78,$4.60,11.04
2013-09-30,48.2,$4.75,10.15
2013-06-30,48.45,$4.92,9.85
2013-03-31,46.85,$5.19,9.03
2012-12-31,40.69,$5.13,7.93
2012-09-30,43.07,$4.90,8.79
2012-06-30,42.14,$4.87,8.65
2012-03-31,40.48,$4.45,9.1
2011-12-31,39.27,$4.17,9.42
2011-09-30,33.31,$4.05,8.23
2011-06-30,38.67,$3.75,10.31
2011-03-31,36.3,$3.67,9.89
2010-12-31,37.33,$3.61,10.34
2010-09-30,31.38,$3.38,9.29
2010-06-30,32.84,$3.19,10.29
2010-03-31,36.11,$3.03,11.92
2009-12-31,32.56,$2.96,11.0
