Cirrus Logic PE Ratio Historical Data,Cirrus Logic PE Ratio Historical Data,Cirrus Logic PE Ratio Historical Data,Cirrus Logic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,122.87,,22.71
2024-06-30,127.66,$5.41,23.6
2024-03-31,92.56,$4.93,18.77
2023-12-31,83.19,$3.15,26.41
2023-09-30,73.96,$2.48,29.82
2023-06-30,81.01,$2.66,30.45
2023-03-31,109.38,$3.07,35.63
2022-12-31,74.48,$5.68,13.11
2022-09-30,68.8,$6.01,11.45
2022-06-30,72.54,$5.92,12.25
2022-03-31,84.79,$5.52,15.36
2021-12-31,92.02,$4.30,21.4
2021-09-30,82.35,$4.05,20.33
2021-06-30,85.12,$3.61,23.58
2021-03-31,84.79,$3.62,23.42
2020-12-31,82.2,$3.37,24.39
2020-09-30,67.45,$2.59,26.04
2020-06-30,61.78,$2.87,21.53
2020-03-31,65.63,$2.65,24.77
2019-12-31,82.41,$2.58,31.94
2019-09-30,53.58,$1.94,27.62
2019-06-30,43.7,$1.60,27.31
2019-03-31,42.07,$1.45,29.01
2018-12-31,33.18,$1.54,21.55
2018-09-30,38.6,$1.57,24.59
2018-06-30,38.33,$1.74,22.03
2018-03-31,40.63,$2.45,16.58
2017-12-31,51.86,$2.78,18.65
2017-09-30,53.32,$4.09,13.04
2017-06-30,62.72,$4.18,15.0
2017-03-31,60.69,$3.78,16.06
2016-12-31,56.54,$3.47,16.29
2016-09-30,53.15,$2.27,23.41
2016-06-30,38.79,$1.61,24.09
2016-03-31,36.41,$1.87,19.47
2015-12-31,29.53,$1.98,14.91
2015-09-30,31.5,$1.70,18.53
2015-06-30,34.03,$1.18,28.84
2015-03-31,33.26,$0.84,39.6
2014-12-31,23.57,$0.72,32.74
2014-09-30,20.85,$1.00,20.85
2014-06-30,22.74,$1.49,15.26
2014-03-31,19.87,$1.64,12.12
2013-12-31,20.43,$1.83,11.16
2013-09-30,22.66,$2.19,10.35
2013-06-30,17.36,$2.20,7.89
2013-03-31,22.75,$1.99,11.43
2012-12-31,28.97,$2.35,12.33
2012-09-30,38.39,$1.61,23.84
2012-06-30,29.85,$1.27,23.5
2012-03-31,23.8,$1.30,18.31
2011-12-31,15.85,$2.35,6.74
2011-09-30,14.74,$2.44,6.04
2011-06-30,15.9,$2.69,5.91
2011-03-31,21.03,$2.81,7.48
2010-12-31,15.98,$1.32,12.11
2010-09-30,17.84,$1.15,15.51
2010-06-30,15.81,$0.83,19.05
2010-03-31,8.39,$0.58,14.47
2009-12-31,6.82,$0.15,45.47
