Plains All American Pipeline PE Ratio Historical Data,Plains All American Pipeline PE Ratio Historical Data,Plains All American Pipeline PE Ratio Historical Data,Plains All American Pipeline PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.35,,15.77
2024-06-30,17.55,$1.10,15.96
2024-03-31,16.95,$1.16,14.61
2023-12-31,14.33,$1.39,10.31
2023-09-30,14.24,$1.34,10.63
2023-06-30,12.87,$1.62,7.94
2023-03-31,11.15,$1.52,7.34
2022-12-31,10.29,$1.19,8.65
2022-09-30,9.04,$1.45,6.24
2022-06-30,8.28,$0.82,10.1
2022-03-31,8.89,$0.23,38.65
2021-12-31,7.59,$0.55,13.8
2021-09-30,8.12,$-0.12,0.0
2021-06-30,8.91,$0.16,55.69
2021-03-31,7.0,$0.66,10.61
2020-12-31,6.21,$-3.83,0.0
2020-09-30,4.38,$-3.37,0.0
2020-06-30,6.33,$-2.95,0.0
2020-03-31,3.7,$-2.54,0.0
2019-12-31,12.63,$2.64,4.78
2019-09-30,13.98,$3.67,3.81
2019-06-30,16.16,$3.99,4.05
2019-03-31,16.01,$3.52,4.55
2018-12-31,12.92,$2.65,4.88
2018-09-30,15.91,$1.46,10.9
2018-06-30,14.86,$0.58,25.61
2018-03-31,13.67,$0.72,18.99
2017-12-31,12.63,$0.97,13.02
2017-09-30,12.77,$0.92,13.88
2017-06-30,15.51,$1.33,11.66
2017-03-31,18.32,$0.92,19.91
2016-12-31,18.39,$0.41,44.86
2016-09-30,17.58,$0.51,34.48
2016-06-30,15.0,$0.35,42.86
2016-03-31,11.11,$0.49,22.68
2015-12-31,11.8,$0.77,15.33
2015-09-30,15.18,$1.20,12.65
2015-06-30,21.41,$1.48,14.47
2015-03-31,23.65,$1.99,11.88
2014-12-31,24.55,$2.38,10.31
2014-09-30,27.83,$2.30,12.1
2014-06-30,28.08,$2.16,13.0
2014-03-31,25.49,$2.28,11.18
2013-12-31,23.64,$2.81,8.41
2013-09-30,23.77,$2.91,8.17
2013-06-30,24.92,$2.80,8.9
2013-03-31,24.96,$3.16,7.9
2012-12-31,19.78,$2.40,8.24
2012-09-30,19.06,$2.40,7.96
2012-06-30,17.25,$2.86,6.03
2012-03-31,16.53,$2.50,6.63
2011-12-31,15.27,$2.44,6.27
2011-09-30,12.06,$2.09,5.79
2011-06-30,12.9,$1.49,8.66
2011-03-31,12.66,$1.25,10.12
2010-12-31,12.29,$1.20,10.24
2010-09-30,12.13,$1.13,10.78
2010-06-30,11.14,$1.31,8.51
2010-03-31,10.63,$1.38,7.73
2009-12-31,9.7,$1.69,5.76
