Victory Capital Holdings PE Ratio Historical Data,Victory Capital Holdings PE Ratio Historical Data,Victory Capital Holdings PE Ratio Historical Data,Victory Capital Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,60.55,,17.06
2024-06-30,47.35,$3.55,13.34
2024-03-31,41.78,$3.26,12.82
2023-12-31,33.63,$3.13,10.74
2023-09-30,32.24,$3.05,10.57
2023-06-30,30.21,$3.29,9.18
2023-03-31,27.76,$3.55,7.82
2022-12-31,25.19,$3.81,6.61
2022-09-30,21.69,$4.01,5.41
2022-06-30,22.23,$4.00,5.56
2022-03-31,26.38,$3.84,6.87
2021-12-31,33.11,$3.75,8.83
2021-09-30,31.57,$3.56,8.87
2021-06-30,28.99,$3.32,8.73
2021-03-31,22.86,$3.00,7.62
2020-12-31,22.11,$2.89,7.65
2020-09-30,15.01,$2.65,5.66
2020-06-30,15.22,$2.24,6.79
2020-03-31,14.45,$1.83,7.89
2019-12-31,18.46,$1.26,14.65
2019-09-30,13.51,$0.94,14.37
2019-06-30,15.04,$0.88,17.09
2019-03-31,13.15,$0.94,13.99
2018-12-31,8.95,$0.90,9.94
