Canadian National Railway PE Ratio Historical Data,Canadian National Railway PE Ratio Historical Data,Canadian National Railway PE Ratio Historical Data,Canadian National Railway PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,114.44,,18.34
2024-06-30,117.27,$6.24,18.79
2024-03-31,130.11,$6.27,20.75
2023-12-31,123.49,$6.34,19.48
2023-09-30,105.97,$5.47,19.37
2023-06-30,117.8,$5.84,20.17
2023-03-31,114.19,$6.03,18.94
2022-12-31,114.51,$5.71,20.05
2022-09-30,103.58,$5.50,18.83
2022-06-30,107.37,$5.75,18.67
2022-03-31,127.41,$5.44,23.42
2021-12-31,116.16,$5.49,21.16
2021-09-30,108.94,$5.25,20.75
2021-06-30,99.0,$4.41,22.45
2021-03-31,108.32,$3.78,28.65
2020-12-31,102.15,$3.76,27.17
2020-09-30,98.59,$3.58,27.54
2020-06-30,81.68,$3.80,21.49
2020-03-31,71.25,$4.65,15.32
2019-12-31,82.56,$4.40,18.76
2019-09-30,81.65,$4.66,17.52
2019-06-30,83.66,$4.58,18.27
2019-03-31,80.59,$4.54,17.75
2018-12-31,66.44,$4.52,14.7
2018-09-30,80.17,$6.07,13.21
2018-06-30,72.7,$5.91,12.3
2018-03-31,64.76,$5.55,11.67
2017-12-31,72.7,$5.64,12.89
2017-09-30,72.72,$3.90,18.65
2017-06-30,70.84,$3.84,18.45
2017-03-31,64.37,$3.68,17.49
2016-12-31,58.43,$3.53,16.55
2016-09-30,56.47,$3.42,16.51
2016-06-30,50.77,$3.41,14.89
2016-03-31,53.43,$3.45,15.49
2015-12-31,47.57,$3.42,13.91
2015-09-30,48.12,$3.44,13.99
2015-06-30,48.74,$3.42,14.25
2015-03-31,56.2,$3.49,16.1
2014-12-31,57.7,$3.47,16.63
2014-09-30,59.23,$3.25,18.22
2014-06-30,54.1,$3.16,17.12
2014-03-31,46.6,$3.02,15.46
2013-12-31,47.08,$2.97,15.88
2013-09-30,41.7,$2.99,13.95
2013-06-30,39.84,$2.91,13.69
2013-03-31,40.91,$2.80,14.61
2012-12-31,36.97,$3.05,12.14
2012-09-30,35.69,$3.00,11.92
2012-06-30,33.99,$2.97,11.46
2012-03-31,31.85,$2.89,11.04
2011-12-31,31.35,$2.70,11.61
2011-09-30,26.46,$2.59,10.24
2011-06-30,31.61,$2.47,12.82
2011-03-31,29.65,$2.38,12.46
2010-12-31,26.07,$2.23,11.69
2010-09-30,25.0,$2.27,11.04
2010-06-30,22.32,$2.13,10.5
2010-03-31,23.46,$1.96,12.0
2009-12-31,20.94,$1.78,11.77
