DXC Technology PE Ratio Historical Data,DXC Technology PE Ratio Historical Data,DXC Technology PE Ratio Historical Data,DXC Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.26,,62.53
2024-06-30,19.09,$0.34,56.15
2024-03-31,21.21,$0.37,57.32
2023-12-31,22.87,$-1.91,0.0
2023-09-30,20.83,$-2.47,0.0
2023-06-30,26.72,$-2.84,0.0
2023-03-31,25.56,$-2.58,0.0
2022-12-31,26.5,$2.94,9.01
2022-09-30,24.48,$3.07,7.97
2022-06-30,30.31,$2.21,13.71
2022-03-31,32.63,$2.85,11.45
2021-12-31,32.19,$-2.43,0.0
2021-09-30,33.61,$1.48,22.71
2021-06-30,38.94,$1.26,30.9
2021-03-31,31.26,$-0.62,0.0
2020-12-31,25.75,$-11.27,0.0
2020-09-30,17.85,$-15.24,0.0
2020-06-30,16.5,$-22.47,0.0
2020-03-31,13.05,$-21.05,0.0
2019-12-31,37.07,$-6.25,0.0
2019-09-30,28.93,$-4.91,0.0
2019-06-30,53.72,$4.20,12.79
2019-03-31,62.37,$4.49,13.89
2018-12-31,51.42,$5.41,9.5
2018-09-30,90.44,$6.43,14.07
2018-06-30,77.79,$6.39,12.17
2018-03-31,83.9,$6.04,13.89
