Autohome PE Ratio Historical Data,Autohome PE Ratio Historical Data,Autohome PE Ratio Historical Data,Autohome PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.72,,13.15
2024-06-30,26.89,$2.26,11.9
2023-12-31,27.49,$2.14,12.85
2023-09-30,28.55,$2.32,12.31
2023-06-30,27.43,$2.25,12.19
2023-03-31,31.48,$2.20,14.31
2022-12-31,28.24,$2.12,13.32
2022-09-30,26.54,$1.76,15.08
2022-06-30,36.3,$1.63,22.27
2022-03-31,28.07,$1.76,15.95
2021-12-31,26.73,$2.30,11.62
2024-03-31,25.69,$2.78,9.24
2021-09-30,42.55,$3.81,11.17
2021-06-30,57.99,$4.22,13.74
2021-03-31,84.57,$4.27,19.81
2020-12-31,89.69,$4.16,21.56
2020-09-30,86.43,$4.03,21.45
2020-06-30,67.97,$3.74,18.17
2020-03-31,63.26,$3.75,16.87
2019-12-31,71.27,$3.87,18.42
2019-09-30,74.05,$3.78,19.59
2019-06-30,76.27,$3.86,19.76
2019-03-31,93.64,$3.76,24.9
2018-12-31,69.68,$3.60,19.36
2018-09-30,68.95,$3.31,20.83
2018-06-30,89.97,$3.02,29.79
2018-03-31,76.55,$2.79,27.44
2017-12-31,57.01,$2.55,22.36
2017-09-30,52.96,$2.07,25.58
2017-06-30,39.98,$1.87,21.38
2017-03-31,28.0,$1.67,16.77
2016-12-31,22.28,$1.59,14.02
2016-09-30,21.38,$1.51,14.16
2016-06-30,17.73,$1.48,11.98
2016-03-31,24.63,$1.45,16.99
2015-12-31,30.78,$1.35,22.8
2015-09-30,28.67,$1.31,21.89
2015-06-30,44.55,$1.25,35.64
2015-03-31,38.76,$1.02,38.0
2014-12-31,32.05,$1.09,29.4
2014-09-30,37.03,$0.91,40.69
