NCino PE Ratio Historical Data,NCino PE Ratio Historical Data,NCino PE Ratio Historical Data,NCino PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.22,,0.0
2024-07-31,32.76,$-0.27,0.0
2024-04-30,29.16,$-0.31,0.0
2024-01-31,31.48,$-0.38,0.0
2023-10-31,28.1,$-0.58,0.0
2023-07-31,32.35,$-0.64,0.0
2023-04-30,24.73,$-0.75,0.0
2023-01-31,28.6,$-0.93,0.0
2022-10-31,31.48,$-0.81,0.0
2022-07-31,32.29,$-0.74,0.0
2022-04-30,37.49,$-0.63,0.0
2022-01-31,45.83,$-0.51,0.0
2021-10-31,72.66,$-0.56,0.0
2021-07-31,63.57,$-0.52,0.0
2021-04-30,65.39,$-0.55,0.0
