Sun Life Financial PE Ratio Historical Data,Sun Life Financial PE Ratio Historical Data,Sun Life Financial PE Ratio Historical Data,Sun Life Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,57.24,,14.75
2024-06-30,48.27,$3.88,12.44
2024-03-31,53.77,$3.91,13.75
2023-12-31,50.55,$3.88,13.03
2023-09-30,47.03,$4.13,11.39
2023-06-30,49.66,$3.64,13.64
2023-03-31,44.0,$3.86,11.4
2022-12-31,43.26,$4.00,10.82
2022-09-30,36.63,$4.26,8.6
2022-06-30,41.72,$5.03,8.29
2022-03-31,50.28,$5.23,9.61
2021-12-31,49.65,$5.33,9.32
2021-09-30,45.44,$4.85,9.37
2021-06-30,45.14,$4.43,10.19
2021-03-31,43.9,$3.82,11.49
2020-12-31,38.27,$3.07,12.46
2020-09-30,34.73,$3.02,11.5
2020-06-30,31.04,$2.93,10.59
2020-03-31,26.8,$3.04,8.81
2019-12-31,37.69,$3.32,11.35
2019-09-30,36.73,$3.13,11.73
2019-06-30,33.57,$2.97,11.3
2019-03-31,30.87,$3.12,9.89
2018-12-31,26.41,$3.20,8.25
2018-09-30,31.31,$2.74,11.43
2018-06-30,31.32,$3.08,10.17
2018-03-31,31.8,$2.87,11.08
2017-12-31,31.64,$2.69,11.76
2017-09-30,30.26,$3.30,9.17
2017-06-30,26.92,$3.17,8.49
2017-03-31,27.26,$3.08,8.85
2016-12-31,28.4,$3.04,9.34
2016-09-30,23.87,$2.81,8.49
2016-06-30,23.85,$2.49,9.58
2016-03-31,23.23,$2.85,8.15
2015-12-31,22.24,$2.80,7.94
2015-09-30,22.8,$2.80,8.14
2015-06-30,23.38,$2.82,8.29
2015-03-31,21.36,$2.49,8.58
2014-12-31,24.76,$2.49,9.95
2014-09-30,24.69,$2.74,9.01
2014-06-30,24.78,$1.32,18.77
2014-03-31,23.14,$1.31,17.67
2013-12-31,23.39,$1.56,15.0
2013-09-30,20.97,$1.31,16.01
2013-06-30,19.21,$2.75,6.99
2013-03-31,17.28,$2.22,7.78
2012-12-31,16.58,$2.53,6.55
2012-09-30,14.33,$0.98,14.62
2012-06-30,13.21,$-0.72,0.0
2012-03-31,13.9,$-0.10,0.0
2011-12-31,10.69,$-0.48,0.0
2011-09-30,13.48,$1.31,10.29
2011-06-30,16.8,$3.13,5.37
2011-03-31,17.14,$2.78,6.17
2010-12-31,16.24,$2.70,6.01
2010-09-30,13.87,$2.30,6.03
2010-06-30,13.82,$1.31,10.55
2010-03-31,16.66,$1.93,8.63
2009-12-31,14.72,$0.89,16.54
