Eagle Materials Inc PE Ratio Historical Data,Eagle Materials Inc PE Ratio Historical Data,Eagle Materials Inc PE Ratio Historical Data,Eagle Materials Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,304.35,,21.49
2024-06-30,217.27,$14.16,15.34
2024-03-31,271.21,$13.62,19.91
2023-12-31,202.24,$14.17,14.27
2023-09-30,165.82,$13.65,12.15
2023-06-30,185.38,$13.11,14.14
2023-03-31,145.71,$12.46,11.69
2022-12-31,131.67,$11.57,11.38
2022-09-30,106.03,$10.90,9.73
2022-06-30,108.52,$9.64,11.26
2022-03-31,126.44,$9.14,13.83
2021-12-31,163.67,$8.80,18.6
2021-09-30,128.76,$8.21,15.68
2021-06-30,139.25,$8.06,17.28
2021-03-31,131.47,$8.12,16.19
2020-12-31,99.13,$8.30,11.94
2020-09-30,84.43,$3.59,23.52
2020-06-30,68.68,$2.22,30.94
2020-03-31,57.06,$-2.91,0.0
2019-12-31,88.54,$-3.41,0.0
2019-06-30,90.33,$0.89,101.5
2019-03-31,81.96,$1.33,61.62
2018-12-31,59.33,$4.91,12.08
2018-09-30,82.63,$5.39,15.33
2018-06-30,101.76,$5.94,17.13
2018-03-31,99.71,$5.87,16.99
2019-09-30,87.71,$6.24,14.06
2017-12-31,109.63,$5.27,20.8
2017-09-30,103.05,$4.36,23.64
2017-06-30,89.26,$3.98,22.43
2017-03-31,93.62,$3.65,25.65
2016-12-31,94.96,$3.82,24.86
2016-06-30,74.19,$3.24,22.9
2016-03-31,67.24,$3.06,21.97
2015-12-31,57.95,$3.19,18.17
2015-09-30,65.41,$3.52,18.58
2015-06-30,72.97,$3.96,18.43
2015-03-31,79.69,$4.21,18.93
2016-09-30,74.33,$4.03,18.44
2014-12-31,72.51,$3.23,22.45
2014-09-30,96.89,$2.83,34.24
2014-06-30,89.7,$2.63,34.11
2014-03-31,84.17,$2.48,33.94
2013-12-31,73.51,$2.19,33.57
2013-09-30,68.69,$1.93,35.59
2013-06-30,62.75,$1.53,41.01
2013-03-31,62.9,$1.24,50.72
2012-12-31,55.22,$1.28,43.14
2012-09-30,43.59,$0.98,44.48
2012-06-30,35.11,$0.72,48.77
2012-03-31,32.48,$0.48,67.67
2011-12-31,23.99,$0.03,799.56
2011-09-30,15.5,$0.08,193.71
2011-06-30,25.78,$0.16,161.15
2011-03-31,27.89,$0.33,84.53
2010-12-31,25.96,$0.62,41.86
2010-09-30,21.6,$0.61,35.42
2010-06-30,23.64,$0.67,35.28
2010-03-31,24.1,$0.70,34.44
2009-12-31,23.57,$0.82,28.74
