TechnipFMC PE Ratio Historical Data,TechnipFMC PE Ratio Historical Data,TechnipFMC PE Ratio Historical Data,TechnipFMC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.53,,24.34
2024-06-30,26.1,$1.09,23.94
2024-03-31,25.02,$0.47,53.22
2023-12-31,20.02,$0.12,166.86
2023-09-30,20.17,$-0.08,0.0
2023-06-30,16.44,$-0.30,0.0
2023-03-31,13.5,$-0.10,0.0
2022-12-31,12.06,$-0.23,0.0
2022-09-30,8.37,$-0.50,0.0
2022-06-30,6.66,$-0.55,0.0
2022-03-31,7.67,$-0.92,0.0
2021-12-31,5.86,$0.02,292.78
2021-09-30,7.45,$0.28,26.6
2021-06-30,8.95,$0.34,26.33
2021-03-31,7.64,$0.74,10.32
2020-12-31,9.3,$-7.35,0.0
2020-09-30,6.24,$-12.66,0.0
2020-06-30,6.77,$-12.60,0.0
2020-03-31,6.67,$-12.42,0.0
2019-12-31,20.78,$-5.09,0.0
2019-09-30,23.24,$-4.69,0.0
2019-06-30,24.84,$-4.44,0.0
2019-03-31,22.4,$-4.42,0.0
2018-12-31,18.54,$-4.27,0.0
2018-09-30,29.43,$0.40,73.58
2018-06-30,29.76,$0.36,82.66
2018-03-31,27.51,$0.48,57.31
2017-12-31,29.11,$0.69,42.2
2017-09-30,25.84,$1.02,25.33
2017-06-30,25.17,$0.90,27.97
2017-03-31,30.07,$0.56,53.7
2016-12-31,32.88,$0.24,136.99
2016-09-30,27.46,$0.48,57.2
2016-06-30,24.68,$0.69,35.77
2016-03-31,25.32,$1.14,22.21
2015-12-31,26.84,$1.68,15.98
2015-09-30,28.69,$2.16,13.28
2015-06-30,38.39,$2.53,15.17
2015-03-31,34.25,$3.02,11.34
2014-12-31,43.34,$2.96,14.64
2014-09-30,50.26,$2.98,16.86
2014-06-30,56.51,$2.75,20.55
2014-03-31,48.39,$2.24,21.6
2013-12-31,48.31,$2.10,23.01
2013-09-30,51.28,$1.86,27.57
2013-06-30,51.52,$1.78,28.95
2013-03-31,50.33,$1.80,27.96
2012-12-31,39.63,$1.78,22.27
2012-09-30,42.84,$1.78,24.07
2012-06-30,36.3,$1.76,20.63
2011-12-31,48.33,$1.65,29.29
2011-09-30,34.79,$1.65,21.09
2011-06-30,41.45,$1.56,26.57
2011-03-31,43.71,$1.51,29.05
2010-12-31,41.14,$1.55,26.63
2012-03-31,46.66,$1.54,30.39
2010-09-30,31.6,$1.50,21.06
2010-06-30,24.36,$1.53,15.92
2010-03-31,29.9,$1.56,19.17
2009-12-31,26.76,$1.44,18.58
