Globus Medical PE Ratio Historical Data,Globus Medical PE Ratio Historical Data,Globus Medical PE Ratio Historical Data,Globus Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,73.92,,246.4
2024-06-30,68.49,$0.30,228.3
2024-03-31,53.64,$0.64,83.81
2023-12-31,53.29,$1.17,45.55
2023-09-30,49.65,$1.55,32.03
2023-06-30,59.54,$2.01,29.62
2023-03-31,56.64,$1.97,28.75
2022-12-31,74.27,$1.86,39.93
2022-09-30,59.57,$1.51,39.45
2022-06-30,56.14,$1.49,37.68
2022-03-31,73.78,$1.36,54.25
2021-12-31,72.2,$1.43,50.49
2021-09-30,76.62,$1.81,42.33
2021-06-30,77.53,$1.80,43.07
2021-03-31,61.67,$1.19,51.82
2020-12-31,65.22,$1.00,65.22
2020-09-30,49.52,$0.92,53.83
2020-06-30,47.71,$0.86,55.48
2020-03-31,42.53,$1.45,29.33
2019-12-31,58.88,$1.53,38.48
2019-09-30,51.12,$1.45,35.26
2019-06-30,42.3,$1.42,29.79
2019-03-31,49.41,$1.48,33.39
2018-12-31,43.28,$1.54,28.1
2018-09-30,56.76,$1.43,39.69
2018-06-30,50.46,$1.34,37.66
2018-03-31,49.82,$1.19,41.87
2017-12-31,41.1,$1.10,37.36
2017-09-30,29.72,$1.10,27.02
2017-06-30,33.15,$1.11,29.86
2017-03-31,29.62,$1.09,27.17
2016-12-31,24.81,$1.08,22.97
2016-09-30,22.57,$1.22,18.5
2016-06-30,23.83,$1.23,19.37
2016-03-31,23.75,$1.21,19.63
2015-12-31,27.82,$1.21,22.99
2015-09-30,20.66,$1.06,19.49
2015-06-30,25.67,$1.00,25.67
2014-12-31,23.77,$0.97,24.51
2014-09-30,19.67,$0.90,21.86
2014-06-30,23.92,$0.92,26.0
2014-03-31,26.59,$0.92,28.9
2013-12-31,20.18,$0.78,25.87
2015-03-31,25.24,$0.77,32.78
2013-09-30,17.46,$0.73,23.92
2013-06-30,16.86,$0.69,24.43
