RenaissanceRe Holdings PE Ratio Historical Data,RenaissanceRe Holdings PE Ratio Historical Data,RenaissanceRe Holdings PE Ratio Historical Data,RenaissanceRe Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,283.49,,5.6
2024-06-30,223.17,$50.58,4.41
2024-03-31,234.26,$45.26,5.18
2023-12-31,195.04,$51.23,3.81
2023-09-30,196.56,$31.07,6.33
2023-06-30,184.89,$8.00,23.11
2023-03-31,198.19,$-3.62,0.0
2022-12-31,181.9,$-25.63,0.0
2022-09-30,138.33,$-31.25,0.0
2022-06-30,153.7,$-21.73,0.0
2022-03-31,155.42,$-4.85,0.0
2021-12-31,165.59,$-1.62,0.0
2021-09-30,136.03,$-2.53,0.0
2021-06-30,144.86,$8.16,17.75
2021-03-31,155.61,$11.44,13.6
2020-12-31,160.67,$15.42,10.42
2020-09-30,164.13,$12.45,13.18
2020-06-30,165.04,$12.34,13.37
2020-03-31,143.82,$8.06,17.84
2019-12-31,188.34,$16.38,11.5
2019-09-30,185.55,$13.51,13.73
2019-06-30,170.43,$13.50,12.62
2019-03-31,137.13,$9.93,13.81
2018-12-31,127.47,$4.92,25.91
2018-09-30,127.04,$6.93,18.33
2018-06-30,114.14,$-6.64,0.0
2018-03-31,131.05,$-7.18,0.0
2017-12-31,118.54,$-6.35,0.0
2017-09-30,127.22,$-4.57,0.0
2017-06-30,130.59,$11.74,11.12
2017-03-31,135.54,$10.72,12.64
2016-12-31,127.37,$10.56,12.06
2016-09-30,112.09,$10.53,10.65
2016-06-30,109.27,$8.56,12.77
2015-12-31,104.74,$9.48,11.05
2015-09-30,98.12,$11.81,8.31
2015-06-30,93.41,$13.10,7.13
2015-03-31,91.51,$13.21,6.93
2014-12-31,88.94,$12.02,7.4
2016-03-31,111.19,$11.16,9.96
2014-09-30,91.21,$14.26,6.4
2014-06-30,97.32,$16.57,5.87
2014-03-31,88.53,$14.22,6.23
2013-12-31,88.03,$14.89,5.91
2013-09-30,81.63,$9.72,8.4
2013-06-30,78.01,$9.39,8.31
2013-03-31,82.41,$11.54,7.14
2012-12-31,72.57,$11.19,6.49
2012-09-30,68.57,$11.89,5.77
2012-06-30,67.42,$9.16,7.36
2012-03-31,66.92,$6.90,9.7
2011-12-31,65.49,$-1.80,0.0
2011-09-30,55.97,$-1.10,0.0
2011-06-30,61.13,$1.74,35.13
2011-03-31,60.07,$5.00,12.01
2010-12-31,55.23,$12.62,4.38
2010-09-30,51.79,$13.80,3.75
2010-06-30,48.4,$14.22,3.4
2010-03-31,48.61,$14.79,3.29
2009-12-31,45.31,$13.56,3.34
