Acushnet PE Ratio Historical Data,Acushnet PE Ratio Historical Data,Acushnet PE Ratio Historical Data,Acushnet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.53,,22.25
2024-06-30,63.27,$2.90,21.82
2024-03-31,65.73,$2.88,22.82
2023-12-31,62.75,$1.53,41.01
2023-09-30,52.51,$2.66,19.74
2023-06-30,53.95,$2.72,19.84
2022-12-31,41.56,$2.73,15.22
2022-09-30,42.4,$2.37,17.89
2022-06-30,40.48,$3.01,13.45
2022-03-31,38.94,$2.62,14.86
2021-12-31,51.12,$2.60,19.66
2023-03-31,50.05,$4.09,12.24
2021-09-30,44.84,$3.02,14.85
2021-06-30,47.28,$3.34,14.15
2021-03-31,39.43,$2.29,17.22
2020-12-31,38.53,$1.28,30.1
2020-09-30,31.82,$1.23,25.87
2020-06-30,32.79,$0.78,42.04
2020-03-31,24.13,$1.26,19.15
2019-12-31,30.29,$1.60,18.93
2019-09-30,24.5,$1.51,16.22
2019-06-30,24.24,$1.21,20.03
2019-03-31,21.23,$1.23,17.26
2018-12-31,19.22,$1.33,14.45
2018-09-30,25.02,$1.34,18.67
2018-06-30,22.21,$1.37,16.21
2018-03-31,20.85,$1.28,16.29
2017-12-31,18.93,$1.23,15.39
2017-09-30,15.85,$1.05,15.1
