SAP SE PE Ratio Historical Data,SAP SE PE Ratio Historical Data,SAP SE PE Ratio Historical Data,SAP SE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,228.84,,98.64
2024-06-30,201.71,$2.32,86.94
2024-03-31,192.62,$4.61,41.78
2023-12-31,152.68,$5.81,26.28
2023-09-30,127.72,$5.20,24.56
2023-06-30,135.12,$4.59,29.44
2023-03-31,122.94,$1.79,68.68
2022-12-31,100.25,$2.06,48.66
2022-09-30,78.93,$3.00,26.31
2022-06-30,88.13,$3.83,23.01
2022-03-31,104.93,$4.92,21.33
2021-12-31,132.49,$5.27,25.14
2021-09-30,127.7,$5.78,22.09
2021-06-30,132.82,$5.92,22.44
2021-03-31,114.21,$5.33,21.43
2020-12-31,121.27,$5.02,24.16
2020-09-30,144.92,$4.61,31.44
2020-06-30,130.21,$4.23,30.78
2020-03-31,101.26,$3.97,25.51
2019-12-31,122.79,$3.11,39.48
2019-09-30,108.02,$3.20,33.76
2019-06-30,125.37,$2.99,41.93
2019-03-31,104.83,$3.17,33.07
2018-12-31,90.39,$4.01,22.54
2018-09-30,111.68,$4.23,26.4
2018-06-30,105.01,$4.24,24.77
2018-03-31,94.11,$4.13,22.79
2017-12-31,100.55,$4.76,21.12
2017-09-30,98.12,$3.61,27.18
2017-06-30,93.67,$3.41,27.47
2016-12-31,76.32,$3.33,22.92
2016-09-30,80.72,$3.14,25.71
2016-06-30,66.24,$3.29,20.13
2016-03-31,69.84,$2.96,23.59
2015-12-31,68.69,$2.81,24.45
2015-09-30,56.26,$2.90,19.4
2015-06-30,60.99,$3.00,20.33
2015-03-31,61.68,$3.20,19.27
2014-12-31,59.52,$3.44,17.3
2014-09-30,61.67,$3.68,16.76
2014-06-30,65.81,$3.62,18.18
2014-03-31,68.23,$3.45,19.78
2013-12-31,73.12,$3.62,20.2
2013-09-30,62.03,$2.69,23.06
2017-03-31,86.69,$3.05,28.42
2013-06-30,61.12,$3.26,18.75
2013-03-31,66.86,$3.14,21.29
2012-12-31,66.73,$3.06,21.81
2012-09-30,59.21,$3.14,18.86
2012-06-30,49.28,$3.93,12.54
2012-03-31,57.65,$3.97,14.52
2011-12-31,43.72,$3.98,10.98
2011-09-30,41.79,$3.17,13.18
2011-06-30,50.07,$2.29,21.87
2011-03-31,50.15,$2.12,23.65
2010-12-31,41.36,$2.06,20.08
2010-09-30,40.3,$2.42,16.65
2010-06-30,36.2,$2.38,15.21
2010-03-31,38.98,$2.35,16.59
2009-12-31,37.88,$2.14,17.7
