Saia PE Ratio Historical Data,Saia PE Ratio Historical Data,Saia PE Ratio Historical Data,Saia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,446.68,,31.43
2024-06-30,474.29,$14.21,33.38
2024-03-31,585.0,$13.80,42.39
2023-12-31,438.22,$13.27,33.02
2023-09-30,398.65,$12.59,31.66
2023-06-30,342.41,$12.59,27.2
2023-03-31,272.08,$13.27,20.5
2022-12-31,209.68,$13.40,15.65
2022-09-30,190.0,$13.51,14.06
2022-06-30,188.0,$12.82,14.66
2022-03-31,243.82,$11.06,22.05
2021-12-31,337.03,$9.48,35.55
2021-09-30,238.03,$8.23,28.92
2021-06-30,209.49,$6.81,30.76
2021-03-31,230.58,$5.54,41.62
2020-12-31,180.8,$5.20,34.77
2020-09-30,126.14,$4.50,28.03
2020-06-30,111.18,$4.19,26.53
2020-03-31,73.54,$4.52,16.27
2019-12-31,93.12,$4.31,21.61
2019-09-30,93.7,$4.47,20.96
2019-06-30,64.67,$4.29,15.07
2019-03-31,61.1,$4.04,15.12
2018-12-31,55.82,$3.99,13.99
2018-09-30,76.45,$4.84,15.8
2018-06-30,80.85,$4.32,18.72
2018-03-31,75.15,$3.85,19.52
2017-12-31,70.75,$3.49,20.27
2017-09-30,62.65,$2.07,30.27
2017-06-30,51.3,$2.06,24.9
2017-03-31,44.3,$1.90,23.32
2016-12-31,44.15,$1.88,23.48
2016-09-30,29.96,$1.93,15.52
2016-06-30,25.14,$1.85,13.59
2016-03-31,28.15,$2.08,13.53
2015-12-31,22.25,$2.15,10.35
2015-09-30,30.95,$2.23,13.88
2015-06-30,39.29,$2.41,16.3
2015-03-31,44.3,$2.19,20.23
2014-12-31,55.36,$2.04,27.14
2014-09-30,49.56,$1.83,27.08
2014-06-30,43.93,$1.70,25.84
2014-03-31,38.21,$1.71,22.35
2013-12-31,32.05,$1.74,18.45
2013-09-30,31.18,$1.64,19.05
2013-06-30,29.97,$1.50,19.98
2013-03-31,24.11,$1.44,16.75
2012-12-31,15.41,$1.30,11.86
2012-09-30,13.43,$1.18,11.38
2012-06-30,14.59,$1.01,14.5
2012-03-31,11.34,$0.67,17.01
2011-12-31,8.32,$0.47,17.83
2011-09-30,7.01,$0.39,17.83
2011-06-30,11.3,$0.30,37.65
2011-03-31,10.93,$0.24,45.51
2010-12-31,11.06,$0.07,150.68
2010-09-30,9.95,$-0.10,0.0
2010-06-30,10.0,$-0.05,0.0
2010-03-31,9.25,$-0.21,0.0
2009-12-31,9.88,$-0.39,0.0
