BridgeBio Pharma PE Ratio Historical Data,BridgeBio Pharma PE Ratio Historical Data,BridgeBio Pharma PE Ratio Historical Data,BridgeBio Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.19,,0.0
2024-06-30,25.33,$-2.63,0.0
2024-03-31,30.92,$-3.22,0.0
2023-12-31,40.37,$-3.94,0.0
2023-09-30,26.37,$-3.90,0.0
2023-06-30,17.2,$-3.75,0.0
2023-03-31,16.58,$-2.84,0.0
2022-12-31,7.62,$-3.27,0.0
2022-09-30,9.94,$-3.36,0.0
2022-06-30,9.08,$-3.49,0.0
2022-03-31,10.15,$-4.08,0.0
2021-12-31,16.68,$-3.91,0.0
2021-09-30,46.87,$-3.91,0.0
2021-06-30,60.96,$-3.83,0.0
2021-03-31,61.6,$-4.20,0.0
2020-12-31,71.11,$-3.80,0.0
2020-09-30,37.52,$-3.41,0.0
2020-06-30,32.61,$-2.43,0.0
2020-03-31,29.0,$-1.91,0.0
