Hexcel PE Ratio Historical Data,Hexcel PE Ratio Historical Data,Hexcel PE Ratio Historical Data,Hexcel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.25,,49.02
2024-06-30,62.3,$1.27,49.05
2024-03-31,72.51,$1.17,61.98
2023-12-31,73.26,$1.24,59.08
2023-09-30,64.58,$1.88,34.35
2023-06-30,75.23,$1.74,43.23
2023-03-31,67.42,$1.77,38.09
2022-12-31,58.03,$1.48,39.21
2022-09-30,50.91,$1.27,40.08
2022-06-30,51.4,$1.07,48.04
2022-03-31,58.34,$0.57,102.35
2021-12-31,50.72,$0.19,266.96
2021-09-30,58.15,$-0.26,0.0
2021-06-30,61.1,$-0.25,0.0
2021-03-31,54.83,$-0.29,0.0
2020-12-31,47.48,$0.38,124.95
2020-09-30,32.85,$1.47,22.35
2020-06-30,44.28,$2.28,19.42
2020-03-31,36.42,$3.23,11.27
2019-12-31,71.62,$3.57,20.06
2019-09-30,80.06,$3.47,23.07
2019-06-30,78.67,$3.45,22.8
2019-03-31,67.13,$3.27,20.53
2018-12-31,55.54,$3.39,16.38
2018-09-30,64.78,$3.39,19.11
2018-06-30,63.99,$3.15,20.31
2017-12-31,59.4,$3.09,19.22
2017-09-30,55.03,$2.77,19.87
2017-06-30,50.47,$2.69,18.76
2017-03-31,52.04,$2.74,18.99
2016-12-31,48.97,$2.74,17.87
2018-03-31,62.15,$2.69,23.1
2016-09-30,42.07,$2.57,16.37
2016-06-30,39.45,$2.40,16.44
2016-03-31,41.31,$2.33,17.73
2015-12-31,43.79,$2.44,17.94
2015-09-30,42.2,$2.42,17.44
2015-06-30,46.7,$2.44,19.14
2015-03-31,48.18,$2.32,20.77
2014-12-31,38.79,$2.12,18.3
2014-09-30,37.11,$2.04,18.19
2014-06-30,38.23,$1.95,19.61
2014-03-31,40.7,$1.92,21.2
2013-12-31,41.78,$1.85,22.58
2013-09-30,36.27,$1.75,20.73
2013-06-30,31.83,$1.66,19.18
2013-03-31,27.12,$1.65,16.44
2012-12-31,25.2,$1.61,15.65
2012-09-30,22.45,$1.64,13.69
2012-06-30,24.11,$1.57,15.36
2012-03-31,22.45,$1.47,15.27
2011-12-31,22.63,$1.31,17.28
2011-09-30,20.72,$1.08,19.18
2011-06-30,20.46,$0.99,20.67
2010-12-31,16.91,$0.78,21.68
2010-09-30,16.63,$0.61,27.26
2010-06-30,14.5,$0.71,20.42
2010-03-31,13.5,$0.59,22.88
2009-12-31,12.13,$0.60,20.22
2011-03-31,18.41,$0.78,23.6
