Krystal Biotech PE Ratio Historical Data,Krystal Biotech PE Ratio Historical Data,Krystal Biotech PE Ratio Historical Data,Krystal Biotech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,176.82,,48.44
2024-06-30,183.64,$3.65,50.31
2024-03-31,177.93,$1.87,95.15
2023-12-31,124.06,$0.08,1550.75
2023-09-30,116.0,$-1.47,0.0
2023-06-30,117.4,$-5.43,0.0
2023-03-31,80.06,$-5.28,0.0
2022-12-31,79.22,$-5.51,0.0
2022-09-30,69.7,$-5.20,0.0
2022-06-30,65.66,$-4.73,0.0
2022-03-31,66.54,$-4.37,0.0
2021-12-31,69.95,$-3.12,0.0
2021-09-30,52.21,$-2.71,0.0
2021-06-30,68.0,$-2.50,0.0
2021-03-31,77.04,$-2.13,0.0
2020-12-31,60.0,$-1.70,0.0
2020-09-30,43.05,$-1.48,0.0
2020-06-30,41.42,$-1.24,0.0
2020-03-31,43.24,$-1.24,0.0
2019-12-31,55.38,$-1.22,0.0
2019-09-30,34.73,$-1.19,0.0
2019-06-30,40.27,$-1.20,0.0
2019-03-31,32.9,$-1.05,0.0
2018-12-31,20.78,$-0.97,0.0
2018-09-30,17.58,$-0.69,0.0
2018-06-30,14.87,$-1.69,0.0
