Hyatt Hotels PE Ratio Historical Data,Hyatt Hotels PE Ratio Historical Data,Hyatt Hotels PE Ratio Historical Data,Hyatt Hotels PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,152.61,,16.46
2024-06-30,151.77,$9.27,16.37
2024-03-31,159.46,$6.44,24.76
2023-12-31,130.15,$2.04,63.8
2023-09-30,105.73,$4.48,23.6
2023-06-30,114.05,$4.10,27.82
2023-03-31,111.12,$5.32,20.89
2022-12-31,89.91,$4.12,21.82
2022-09-30,80.48,$1.17,68.78
2022-06-30,73.47,$2.07,35.49
2022-03-31,94.88,$0.14,677.7
2021-12-31,95.33,$-2.18,0.0
2021-09-30,76.64,$-3.92,0.0
2021-06-30,77.18,$-6.66,0.0
2021-03-31,82.2,$-8.91,0.0
2020-12-31,73.81,$-6.94,0.0
2020-09-30,53.05,$-1.86,0.0
2020-06-30,49.99,$2.53,19.76
2020-03-31,47.61,$5.66,8.41
2019-12-31,88.95,$7.27,12.24
2019-09-30,72.87,$4.59,15.88
2019-06-30,75.11,$3.88,19.36
2019-03-31,71.41,$3.74,19.09
2018-12-31,66.35,$3.77,17.6
2018-09-30,77.95,$3.50,22.27
2018-06-30,75.41,$2.09,36.08
2017-12-31,71.62,$1.97,36.36
2017-09-30,60.18,$1.66,36.25
2017-06-30,54.74,$4.93,11.1
2017-03-31,52.57,$4.72,11.14
2016-12-31,53.82,$4.67,11.52
2018-03-31,74.41,$4.61,16.14
2016-09-30,47.94,$1.47,32.61
2016-06-30,47.86,$1.18,40.56
2016-03-31,48.2,$0.96,50.21
2015-12-31,45.79,$0.86,53.25
2015-09-30,45.87,$1.80,25.48
2015-06-30,55.21,$1.83,30.17
2015-03-31,57.67,$2.04,28.27
2014-12-31,58.64,$2.09,28.06
2014-09-30,58.94,$1.24,47.53
2014-06-30,59.39,$1.73,34.33
2013-12-31,48.17,$1.30,37.05
2013-09-30,41.84,$1.19,35.16
2013-06-30,39.31,$0.98,40.11
2013-03-31,42.1,$0.52,80.96
2012-12-31,37.56,$0.53,70.87
2012-09-30,39.1,$0.75,52.14
2012-06-30,36.19,$0.69,52.45
2012-03-31,41.6,$0.67,62.1
2011-12-31,36.66,$0.97,37.79
2011-09-30,30.55,$0.72,42.43
2011-06-30,39.75,$0.67,59.34
2014-03-31,52.41,$0.62,84.53
2011-03-31,41.92,$0.40,104.79
2010-12-31,44.57,$0.37,120.45
2010-09-30,36.41,$0.27,134.87
