Toro PE Ratio Historical Data,Toro PE Ratio Historical Data,Toro PE Ratio Historical Data,Toro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,84.06,,22.06
2024-07-31,95.33,$3.81,25.02
2024-04-30,86.91,$2.53,34.35
2024-01-31,91.4,$2.74,33.36
2023-10-31,79.61,$3.13,25.43
2023-07-31,99.69,$3.58,27.85
2023-04-30,101.89,$4.91,20.75
2023-01-31,108.62,$4.56,23.82
2022-10-31,102.39,$4.21,24.32
2022-07-31,83.24,$3.65,22.8
2022-04-30,77.25,$3.35,23.06
2022-01-31,92.79,$3.42,27.13
2021-10-31,91.45,$3.78,24.19
2021-07-31,108.66,$3.88,28.0
2021-04-30,109.21,$3.81,28.66
2021-01-31,89.6,$3.41,26.27
2020-10-31,77.83,$3.04,25.6
2020-07-31,67.43,$2.73,24.7
2020-04-30,60.08,$2.47,24.32
2020-01-31,75.05,$2.11,35.57
2019-10-31,72.11,$1.82,39.62
2019-07-31,67.87,$2.20,30.85
2019-01-31,55.09,$2.85,19.33
2018-10-31,51.95,$2.51,20.7
2018-07-31,55.32,$2.46,22.49
2018-04-30,53.49,$2.80,19.1
2018-01-31,59.94,$2.20,27.25
2017-10-31,57.21,$3.07,18.64
2019-04-30,67.95,$3.17,21.44
2017-07-31,64.53,$2.37,27.23
2017-04-30,58.79,$2.26,26.01
2017-01-31,53.21,$2.13,25.04
2016-10-31,43.1,$2.07,20.87
2016-07-31,41.25,$2.01,20.57
2016-04-30,38.65,$1.98,19.57
2016-01-31,33.2,$1.85,17.95
2015-10-31,33.4,$1.77,18.87
2015-07-31,30.21,$1.66,18.26
2015-04-30,29.53,$1.62,18.23
2015-01-31,28.49,$1.56,18.32
2014-10-31,26.99,$1.51,17.93
2014-07-31,25.85,$1.45,17.83
2014-04-30,27.6,$1.36,20.37
2014-01-31,27.44,$1.26,21.77
2013-10-31,25.44,$1.31,19.49
2013-07-31,21.22,$1.27,16.77
2013-04-30,19.32,$1.26,15.33
2013-01-31,18.84,$1.17,16.17
2012-10-31,18.01,$0.94,19.16
2012-07-31,15.99,$1.22,13.14
2012-04-30,15.15,$1.35,11.2
2011-10-31,11.38,$0.92,12.37
2011-07-31,11.29,$0.91,12.48
2011-04-30,14.19,$0.79,17.97
2011-01-31,12.67,$0.57,22.14
2010-10-31,11.79,$0.78,15.21
2012-01-31,13.4,$0.83,16.14
2010-07-31,10.78,$0.66,16.26
2010-04-30,11.75,$0.55,21.56
2010-01-31,8.01,$0.46,17.41
2009-10-31,7.58,$0.43,17.83
