EPR Properties PE Ratio Historical Data,EPR Properties PE Ratio Historical Data,EPR Properties PE Ratio Historical Data,EPR Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.76,,27.24
2024-06-30,41.23,$1.79,23.03
2023-12-31,46.03,$1.97,23.37
2023-09-30,38.75,$1.93,20.08
2023-06-30,42.83,$1.87,22.91
2023-03-31,34.21,$2.23,15.34
2022-12-31,33.18,$2.02,16.43
2022-09-30,30.89,$2.05,15.07
2022-06-30,39.65,$1.80,22.03
2022-03-31,45.48,$1.51,30.12
2021-12-31,38.86,$0.68,57.15
2021-09-30,39.8,$-1.06,0.0
2021-06-30,41.83,$-2.31,0.0
2020-12-31,25.81,$-2.08,0.0
2020-09-30,21.84,$-1.34,0.0
2020-06-30,26.31,$-0.15,0.0
2020-03-31,19.0,$1.11,17.12
2019-12-31,53.96,$1.50,35.97
2021-03-31,37.0,$1.90,19.47
2019-09-30,57.82,$2.59,22.32
2019-06-30,55.29,$3.38,16.36
2019-03-31,56.17,$3.33,16.87
2018-12-31,46.07,$3.31,13.92
2018-09-30,48.45,$3.68,13.16
2017-12-31,43.98,$3.28,13.41
2017-09-30,46.16,$3.36,13.74
2017-06-30,46.88,$3.40,13.79
2017-03-31,47.36,$3.15,15.04
2016-12-31,45.54,$3.17,14.37
2016-09-30,49.28,$3.13,15.75
2016-06-30,49.9,$3.08,16.2
2016-03-31,40.65,$3.06,13.28
2015-12-31,35.12,$3.44,10.21
2015-09-30,30.5,$3.30,9.24
2015-06-30,31.86,$3.35,9.51
2018-06-30,45.16,$3.28,13.77
2015-03-31,34.37,$2.78,12.36
2014-12-31,32.51,$2.85,11.41
2014-09-30,28.16,$3.16,8.91
2014-06-30,30.56,$3.27,9.35
2014-03-31,28.75,$3.18,9.04
2013-12-31,26.04,$3.22,8.09
2013-09-30,25.42,$2.50,10.17
2013-06-30,25.81,$2.31,11.17
2013-03-31,26.33,$2.40,10.97
2012-12-31,22.97,$1.98,11.6
2012-09-30,21.78,$2.26,9.64
2012-06-30,19.82,$2.21,8.97
2012-03-31,21.95,$1.40,15.68
2011-12-31,20.36,$1.80,11.31
2011-09-30,17.87,$1.69,10.57
2011-06-30,21.03,$1.72,12.23
2011-03-31,20.77,$2.06,10.08
2010-12-31,20.21,$2.08,9.71
2010-09-30,18.6,$2.03,9.16
2010-06-30,16.16,$1.62,9.98
2024-03-31,41.12,$-0.45,0.0
2010-03-31,17.17,$-0.62,0.0
2009-12-31,14.5,$-0.62,0.0
2009-09-30,13.78,$-0.47,0.0
