Group 1 Automotive PE Ratio Historical Data,Group 1 Automotive PE Ratio Historical Data,Group 1 Automotive PE Ratio Historical Data,Group 1 Automotive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,365.37,,9.02
2024-06-30,296.91,$40.49,7.33
2024-03-31,291.87,$42.36,6.89
2023-12-31,303.83,$42.66,7.12
2023-09-30,267.48,$45.55,5.87
2023-06-30,256.49,$46.38,5.53
2023-03-31,224.55,$46.24,4.86
2022-12-31,178.52,$47.02,3.8
2022-09-30,141.12,$41.10,3.43
2022-06-30,167.36,$37.95,4.41
2022-03-31,165.08,$36.40,4.54
2021-12-31,191.64,$30.04,6.38
2021-09-30,184.11,$30.63,6.01
2021-06-30,151.02,$28.13,5.37
2021-03-31,153.98,$19.41,7.93
2020-12-31,127.72,$16.46,7.76
2020-09-30,85.87,$13.07,6.57
2020-06-30,64.09,$8.88,7.22
2019-12-31,96.8,$9.33,10.38
2019-09-30,89.11,$8.38,10.63
2019-06-30,78.76,$8.08,9.75
2019-03-31,62.0,$8.16,7.6
2018-12-31,50.31,$7.78,6.47
2018-09-30,61.65,$11.43,5.39
2018-06-30,59.64,$11.12,5.36
2018-03-31,61.63,$10.24,6.02
2017-12-31,66.69,$10.12,6.59
2017-09-30,67.88,$6.29,10.79
2017-06-30,59.07,$6.51,9.07
2017-03-31,68.83,$6.79,10.14
2016-12-31,72.2,$6.68,10.81
2016-09-30,58.99,$3.83,15.4
2016-06-30,45.41,$4.06,11.18
2016-03-31,53.78,$3.85,13.97
2015-12-31,69.1,$3.85,17.95
2015-09-30,77.52,$6.03,12.86
2015-06-30,82.49,$5.18,15.92
2015-03-31,78.22,$3.89,20.11
2014-12-31,81.0,$3.61,22.44
2014-09-30,65.58,$3.65,17.97
2014-06-30,75.88,$3.81,19.92
2014-03-31,58.97,$4.62,12.76
2013-12-31,63.62,$4.31,14.76
2013-09-30,69.41,$4.20,16.53
2013-06-30,57.36,$4.33,13.25
2013-03-31,53.42,$4.10,13.03
2012-12-31,54.99,$4.19,13.12
2012-09-30,53.3,$4.39,12.14
2012-06-30,40.25,$4.01,10.04
2012-03-31,49.42,$3.87,12.77
2011-12-31,45.46,$3.56,12.77
2011-09-30,31.11,$3.12,9.97
2011-06-30,35.92,$3.01,11.93
2011-03-31,37.23,$2.49,14.95
2010-12-31,36.23,$2.17,16.7
2010-09-30,25.86,$1.63,15.86
2010-06-30,20.36,$1.58,12.89
2010-03-31,27.57,$1.47,18.76
2009-12-31,24.53,$1.50,16.36
2009-09-30,23.24,$3.19,7.28
