Korn/Ferry PE Ratio Historical Data,Korn/Ferry PE Ratio Historical Data,Korn/Ferry PE Ratio Historical Data,Korn/Ferry PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,71.14,,20.33
2024-07-31,73.36,$3.50,20.96
2024-04-30,60.09,$3.22,18.66
2024-01-31,57.77,$2.89,19.99
2023-10-31,44.57,$1.97,22.62
2023-07-31,51.38,$3.39,15.16
2023-04-30,46.67,$3.95,11.81
2023-01-31,52.31,$4.74,11.04
2022-10-31,53.7,$6.07,8.85
2022-07-31,63.09,$6.07,10.39
2022-04-30,59.02,$5.99,9.85
2022-01-31,63.64,$5.50,11.57
2021-10-31,73.9,$4.90,15.08
2021-07-31,65.69,$4.03,16.3
2021-04-30,64.77,$2.08,31.14
2021-01-31,43.43,$0.85,51.1
2020-10-31,28.69,$0.27,106.25
2020-07-31,26.61,$0.53,50.21
2020-04-30,27.2,$1.87,14.55
2020-01-31,38.51,$2.78,13.85
2019-10-31,34.4,$3.22,10.68
2019-07-31,36.73,$3.26,11.27
2019-04-30,43.86,$1.80,24.36
2019-01-31,42.44,$1.64,25.88
2018-10-31,41.9,$1.32,31.75
2018-07-31,61.13,$1.15,53.15
2018-04-30,49.45,$2.36,20.95
2018-01-31,41.13,$2.10,19.59
2017-10-31,38.52,$2.04,18.88
2017-07-31,30.72,$1.92,16.0
2017-04-30,29.67,$1.51,19.65
2017-01-31,26.52,$0.74,35.84
2016-10-31,18.55,$0.67,27.69
2016-04-30,24.47,$0.61,40.11
2016-01-31,27.68,$1.02,27.14
2015-10-31,32.58,$1.38,23.61
2015-07-31,29.9,$1.49,20.07
2015-04-30,28.08,$1.54,18.23
2016-07-31,20.84,$1.32,15.79
2015-01-31,25.3,$1.69,14.97
2014-10-31,24.8,$1.66,14.94
2014-07-31,26.12,$1.39,18.79
2014-04-30,25.79,$1.35,19.11
2014-01-31,20.83,$1.12,18.6
2013-07-31,17.34,$0.72,24.08
2013-04-30,14.69,$0.70,20.99
2013-01-31,15.25,$0.70,21.79
2012-10-31,11.89,$0.88,13.51
2012-07-31,11.68,$1.10,10.62
2012-04-30,14.34,$1.20,11.95
2013-10-31,21.13,$1.28,16.51
2012-01-31,14.59,$1.33,10.97
2011-10-31,14.18,$1.38,10.28
2011-07-31,19.13,$1.36,14.06
2011-04-30,18.39,$1.27,14.48
2011-01-31,20.78,$1.03,20.17
2010-10-31,15.65,$0.90,17.39
2010-07-31,12.47,$0.66,18.9
2010-04-30,14.39,$0.09,159.92
2010-01-31,13.14,$-0.55,0.0
2009-10-31,14.17,$-1.24,0.0
