NVent Electric PE Ratio Historical Data,NVent Electric PE Ratio Historical Data,NVent Electric PE Ratio Historical Data,NVent Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,76.1,,22.25
2024-06-30,76.42,$3.42,22.34
2024-03-31,75.02,$3.43,21.87
2023-12-31,58.59,$3.37,17.39
2023-09-30,52.35,$2.80,18.7
2023-06-30,50.88,$2.72,18.71
2023-03-31,42.12,$2.53,16.65
2022-12-31,37.56,$2.37,15.85
2022-09-30,30.7,$1.82,16.87
2022-06-30,30.26,$1.71,17.7
2022-03-31,33.43,$1.62,20.64
2021-12-31,36.35,$1.61,22.58
2021-09-30,30.76,$1.50,20.51
2021-06-30,29.55,$0.24,123.14
2021-03-31,26.25,$0.00,0.0
2020-12-31,21.74,$-0.28,0.0
2020-09-30,16.37,$-0.29,0.0
2020-06-30,17.17,$0.88,19.51
2020-03-31,15.31,$1.08,14.18
2019-12-31,23.06,$1.29,17.88
2019-09-30,19.71,$1.39,14.18
2019-06-30,22.01,$1.42,15.5
2019-03-31,23.8,$1.31,18.17
