Advanced Drainage Systems PE Ratio Historical Data,Advanced Drainage Systems PE Ratio Historical Data,Advanced Drainage Systems PE Ratio Historical Data,Advanced Drainage Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,156.79,,24.81
2024-06-30,160.23,$6.32,25.35
2024-03-31,172.06,$6.44,26.72
2023-12-31,140.38,$6.29,22.32
2023-09-30,113.49,$5.94,19.11
2023-06-30,113.31,$6.03,18.79
2023-03-31,83.74,$6.07,13.8
2022-12-31,81.4,$5.55,14.67
2022-09-30,123.36,$5.42,22.76
2022-06-30,89.26,$4.50,19.84
2022-03-31,117.61,$3.15,37.34
2021-12-31,134.63,$2.84,47.41
2021-09-30,106.88,$2.60,41.11
2021-06-30,115.07,$2.65,43.42
2021-03-31,101.96,$2.61,39.07
2020-12-31,82.36,$2.39,34.46
2020-09-30,61.45,$2.05,29.97
2020-06-30,48.54,$1.22,39.78
2020-03-31,28.87,$-3.67,0.0
2019-12-31,38.0,$-3.67,0.0
2019-09-30,31.5,$-3.70,0.0
2019-06-30,31.92,$-3.35,0.0
2019-03-31,24.17,$1.22,19.81
2018-12-31,22.67,$1.10,20.61
2018-09-30,28.89,$1.36,21.24
2018-06-30,26.62,$1.20,22.19
2018-03-31,24.09,$0.97,24.83
2017-12-31,22.12,$0.74,29.89
2017-09-30,18.72,$0.37,50.61
2017-06-30,18.52,$0.46,40.26
2017-03-31,20.1,$0.56,35.9
2016-12-31,18.86,$0.75,25.15
2016-09-30,21.97,$0.61,36.01
2016-06-30,24.92,$0.23,108.36
2016-03-31,19.35,$-0.15,0.0
2015-12-31,21.78,$-0.19,0.0
2015-09-30,26.17,$-0.20,0.0
2015-06-30,26.48,$0.31,85.43
