"Grupo Aeroportuario Del Pacifico, S.A De C.V PE Ratio Historical Data","Grupo Aeroportuario Del Pacifico, S.A De C.V PE Ratio Historical Data","Grupo Aeroportuario Del Pacifico, S.A De C.V PE Ratio Historical Data","Grupo Aeroportuario Del Pacifico, S.A De C.V PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,172.2,,15.6
2023-12-31,171.17,$11.04,15.5
2023-09-30,155.96,$10.16,15.35
2023-06-30,167.59,$9.86,17.0
2023-03-31,180.9,$9.31,19.43
2022-12-31,133.34,$8.88,15.02
2022-09-30,114.98,$8.91,12.91
2022-06-30,126.59,$8.04,15.75
2022-03-31,142.44,$6.98,20.41
2021-12-31,121.45,$5.66,21.46
2021-09-30,102.76,$4.26,24.12
2021-06-30,91.45,$2.75,33.25
2021-03-31,89.99,$1.04,86.53
2020-12-31,95.21,$1.70,56.01
2020-09-30,68.99,$2.73,25.27
2020-06-30,61.44,$3.74,16.43
2020-03-31,46.15,$5.37,8.59
2019-12-31,101.47,$5.04,20.13
2019-09-30,80.88,$4.79,16.88
2019-06-30,85.5,$4.81,17.77
2019-03-31,72.92,$4.73,15.42
2018-12-31,66.84,$4.79,13.95
2018-09-30,87.16,$4.89,17.82
2018-06-30,72.58,$4.71,15.41
2018-03-31,77.84,$4.70,16.56
2017-12-31,80.27,$4.26,18.84
2017-09-30,78.86,$4.15,19.0
2017-06-30,85.13,$3.85,22.11
2017-03-31,73.61,$3.31,22.24
2016-12-31,62.56,$3.34,18.73
2016-09-30,71.27,$3.32,21.47
2016-06-30,76.12,$3.59,21.2
2016-03-31,65.8,$3.75,17.55
2015-12-31,65.48,$3.57,18.34
2015-09-30,63.8,$3.27,19.51
2015-06-30,49.65,$2.93,16.94
2015-03-31,46.39,$2.81,16.51
2014-12-31,44.73,$2.93,15.27
2014-09-30,47.73,$3.39,14.08
2014-06-30,47.45,$3.33,14.25
2014-03-31,39.92,$3.24,12.32
2013-12-31,36.32,$3.13,11.6
2013-09-30,34.62,$2.64,13.11
2013-06-30,34.4,$2.65,12.98
2013-03-31,38.68,$2.62,14.76
2012-12-31,37.73,$2.43,15.53
2012-09-30,27.5,$2.42,11.36
2012-06-30,25.06,$2.21,11.34
2012-03-31,22.41,$2.03,11.04
2011-12-31,20.8,$2.27,9.16
2011-09-30,20.25,$2.20,9.2
2011-06-30,24.97,$2.22,11.25
2011-03-31,25.15,$2.17,11.59
2010-12-31,24.03,$2.15,11.18
2010-09-30,20.2,$1.96,10.3
2010-06-30,16.85,$1.91,8.82
2010-03-31,20.83,$1.87,11.14
2009-12-31,17.59,$1.57,11.2
