Penumbra PE Ratio Historical Data,Penumbra PE Ratio Historical Data,Penumbra PE Ratio Historical Data,Penumbra PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,202.26,,594.88
2024-06-30,179.97,$0.34,529.32
2024-03-31,223.18,$2.37,94.17
2023-12-31,251.54,$2.31,108.89
2023-09-30,241.91,$1.03,234.86
2023-06-30,344.06,$0.74,464.95
2023-03-31,278.69,$0.16,1741.81
2022-12-31,222.46,$-0.06,0.0
2022-09-30,189.6,$-0.82,0.0
2022-06-30,124.52,$-0.52,0.0
2022-03-31,222.13,$-0.17,0.0
2021-12-31,287.32,$0.15,1915.47
2021-09-30,266.5,$0.91,292.86
2021-06-30,274.06,$0.43,637.35
2021-03-31,270.58,$-0.16,0.0
2020-12-31,175.0,$-0.44,0.0
2020-09-30,194.38,$-0.27,0.0
2020-06-30,178.82,$0.29,616.62
2020-03-31,161.33,$1.09,148.01
2019-12-31,164.27,$1.35,121.68
2019-09-30,134.49,$1.26,106.74
2019-06-30,160.0,$0.39,410.26
2019-03-31,147.01,$0.30,490.03
2018-12-31,122.2,$0.15,814.67
2018-09-30,149.7,$0.22,680.45
2018-06-30,138.15,$0.78,177.12
2018-03-31,115.65,$0.36,321.25
2017-12-31,94.1,$0.11,855.45
2017-09-30,90.3,$-0.22,0.0
2017-06-30,87.75,$-0.27,0.0
2017-03-31,83.45,$-0.21,0.0
2016-12-31,63.8,$-0.06,0.0
2016-09-30,75.99,$0.05,1519.8
2016-06-30,59.5,$0.11,540.91
