GMS PE Ratio Historical Data,GMS PE Ratio Historical Data,GMS PE Ratio Historical Data,GMS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,96.0,,15.84
2024-07-31,96.23,$6.06,15.88
2024-04-30,92.52,$6.73,13.75
2024-01-31,84.16,$7.14,11.79
2023-10-31,58.48,$7.39,7.91
2023-07-31,73.69,$7.83,9.41
2023-04-30,58.06,$7.81,7.43
2023-01-31,59.32,$7.76,7.64
2022-10-31,47.2,$7.63,6.19
2022-07-31,53.07,$6.91,7.68
2022-04-30,47.95,$6.23,7.7
2022-01-31,51.18,$5.25,9.75
2021-10-31,49.53,$4.22,11.74
2021-07-31,49.13,$3.19,15.4
2021-04-30,43.71,$2.43,17.99
2021-01-31,28.99,$0.68,42.63
2020-10-31,22.6,$0.56,40.36
2020-07-31,23.43,$0.58,40.4
2020-04-30,18.38,$0.54,34.04
2020-01-31,26.72,$1.91,13.99
2019-10-31,29.96,$1.80,16.64
2019-07-31,22.51,$1.70,13.24
2019-04-30,17.62,$1.31,13.45
2019-01-31,18.93,$1.16,16.32
2018-10-31,16.44,$1.49,11.03
2018-07-31,26.24,$1.34,19.58
2018-04-30,31.16,$1.50,20.77
2018-01-31,34.28,$1.60,21.43
2017-10-31,34.05,$1.33,25.6
2017-07-31,30.02,$1.32,22.74
2017-04-30,36.16,$1.20,30.13
