Ryan Specialty Holdings PE Ratio Historical Data,Ryan Specialty Holdings PE Ratio Historical Data,Ryan Specialty Holdings PE Ratio Historical Data,Ryan Specialty Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,70.57,,110.27
2024-06-30,57.91,$0.64,90.48
2024-03-31,55.5,$0.53,104.72
2023-12-31,43.02,$0.51,84.35
2023-09-30,48.4,$0.47,102.98
2023-06-30,44.89,$0.60,74.82
2023-03-31,40.24,$0.56,71.86
2022-12-31,41.51,$0.51,81.39
2022-09-30,40.62,$0.46,88.3
2022-06-30,39.19,$0.21,186.62
