UBS Group AG PE Ratio Historical Data,UBS Group AG PE Ratio Historical Data,UBS Group AG PE Ratio Historical Data,UBS Group AG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.56,,61.43
2024-06-30,29.54,$0.53,55.74
2024-03-31,30.31,$9.18,3.3
2023-12-31,30.49,$8.98,3.4
2023-09-30,24.32,$9.57,2.54
2023-06-30,20.0,$10.33,1.94
2023-03-31,20.79,$1.95,10.66
2022-12-31,18.19,$2.24,8.12
2022-09-30,14.14,$2.12,6.67
2022-06-30,15.8,$2.23,7.09
2022-03-31,18.77,$2.17,8.65
2021-12-31,17.17,$2.05,8.37
2021-09-30,15.31,$2.13,7.19
2021-06-30,14.74,$2.06,7.15
2021-03-31,14.75,$1.84,8.01
2020-12-31,13.42,$1.78,7.54
2020-09-30,10.26,$1.51,6.8
2020-06-30,10.62,$1.23,8.63
2020-03-31,8.37,$1.27,6.59
2019-12-31,11.37,$1.02,11.15
2019-09-30,10.22,$1.07,9.55
2019-06-30,10.71,$1.35,7.93
2016-03-31,13.88,$1.32,10.51
2015-12-31,16.78,$1.71,9.81
2015-09-30,16.04,$1.75,9.17
2015-06-30,18.37,$1.37,13.41
2015-03-31,15.86,$1.33,11.93
2014-12-31,14.41,$1.09,13.22
2018-12-31,11.19,$1.15,9.73
2019-03-31,10.94,$1.38,7.93
2018-09-30,14.22,$0.47,30.25
2018-06-30,13.86,$0.40,34.66
2018-03-31,15.3,$0.37,41.35
2017-12-31,15.93,$0.29,54.94
2017-09-30,14.86,$1.09,13.63
2017-06-30,14.71,$1.06,13.88
2017-03-31,13.82,$1.03,13.42
