Shinhan Financial Group Co PE Ratio Historical Data,Shinhan Financial Group Co PE Ratio Historical Data,Shinhan Financial Group Co PE Ratio Historical Data,Shinhan Financial Group Co PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.56,,6.61
2024-06-30,34.81,$6.29,5.53
2024-03-31,35.09,$6.07,5.78
2023-12-31,29.79,$6.18,4.82
2023-09-30,25.64,$5.84,4.39
2023-06-30,24.85,$6.34,3.92
2023-03-31,25.3,$6.53,3.87
2022-12-31,25.85,$6.65,3.89
2022-09-30,20.8,$6.92,3.01
2022-06-30,25.53,$6.36,4.01
2022-03-31,29.58,$6.48,4.56
2021-12-31,27.1,$6.31,4.29
2021-09-30,28.47,$6.32,4.5
2021-06-30,30.11,$6.61,4.56
2021-03-31,27.97,$5.99,4.67
2020-12-31,24.82,$5.52,4.5
2020-09-30,18.33,$5.73,3.2
2020-06-30,19.2,$5.43,3.54
2020-03-31,18.6,$5.82,3.2
2019-12-31,30.38,$6.06,5.01
2019-09-30,26.85,$8.74,3.07
2019-06-30,29.83,$8.70,3.43
2019-03-31,28.51,$8.71,3.27
2018-12-31,27.23,$8.61,3.16
2018-09-30,29.64,$5.42,5.47
2018-06-30,28.42,$5.36,5.3
2018-03-31,31.32,$5.20,6.02
2017-12-31,34.27,$5.31,6.45
2017-09-30,31.8,$6.02,5.28
2017-06-30,31.22,$5.84,5.35
2017-03-31,29.99,$5.38,5.58
2016-12-31,27.02,$4.91,5.5
2016-09-30,25.32,$4.58,5.53
2016-06-30,22.75,$4.49,5.07
2016-03-31,24.47,$4.54,5.39
2015-12-31,23.34,$4.36,5.35
2015-09-30,23.48,$4.14,5.67
2015-06-30,25.0,$4.07,6.14
2015-03-31,25.17,$3.94,6.39
2014-12-31,27.25,$3.88,7.02
2014-09-30,30.67,$3.95,7.77
2014-06-30,30.94,$3.73,8.3
2014-03-31,29.65,$3.60,8.24
2013-12-31,30.83,$3.48,8.86
2013-09-30,27.04,$2.86,9.46
2013-06-30,21.72,$2.78,7.81
2013-03-31,23.97,$2.89,8.29
2012-12-31,24.47,$3.13,7.83
2012-09-30,22.13,$3.92,5.65
2012-06-30,23.4,$4.26,5.49
2012-03-31,25.41,$4.84,5.26
2011-12-31,22.48,$5.29,4.25
2011-09-30,22.23,$9.24,2.41
2011-06-30,31.16,$7.84,3.98
2011-03-31,29.41,$6.08,4.84
2010-12-31,30.47,$5.66,5.38
2010-09-30,24.63,$0.92,26.77
