Murphy Oil PE Ratio Historical Data,Murphy Oil PE Ratio Historical Data,Murphy Oil PE Ratio Historical Data,Murphy Oil PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.14,,8.72
2024-06-30,40.92,$3.80,10.77
2024-03-31,45.03,$3.59,12.54
2023-12-31,41.71,$4.22,9.88
2023-09-30,44.06,$4.73,9.32
2023-06-30,36.98,$6.46,5.72
2023-03-31,35.41,$8.07,4.39
2022-12-31,40.93,$6.12,6.69
2022-09-30,33.29,$5.94,5.61
2022-06-30,28.38,$3.28,8.65
2022-03-31,37.77,$0.64,59.02
2021-12-31,24.31,$-0.50,0.0
2021-09-30,23.15,$-2.69,0.0
2021-06-30,21.46,$-4.98,0.0
2021-03-31,15.03,$-6.63,0.0
2020-12-31,10.99,$-7.47,0.0
2020-09-30,7.99,$-6.82,0.0
2020-06-30,12.25,$1.53,8.01
2020-03-31,5.38,$4.14,1.3
2019-12-31,23.28,$7.08,3.29
2019-09-30,19.01,$8.13,2.34
2019-06-30,20.91,$1.91,10.95
2019-03-31,24.63,$1.62,15.2
2018-12-31,19.49,$2.35,8.3
2018-09-30,27.56,$0.10,275.63
2018-06-30,27.7,$-0.82,0.0
2018-03-31,21.02,$-1.18,0.0
2017-12-31,25.02,$-1.80,0.0
2017-09-30,21.22,$-0.51,0.0
2017-06-30,20.28,$-0.22,0.0
2017-03-31,22.41,$-0.10,0.0
2016-12-31,24.19,$-1.60,0.0
2016-09-30,23.41,$-4.64,0.0
2016-06-30,24.24,$-13.81,0.0
2016-03-31,19.01,$-14.25,0.0
2015-12-31,16.58,$-13.17,0.0
2015-09-30,17.66,$-7.66,0.0
2015-06-30,30.01,$2.97,10.11
2015-03-31,33.39,$4.11,8.12
2014-12-31,35.95,$5.04,7.13
2014-09-30,40.23,$3.34,12.04
2014-06-30,46.72,$3.48,13.42
2014-03-31,43.95,$4.88,9.01
2013-12-31,45.11,$5.91,7.63
2013-09-30,41.73,$6.33,6.59
2013-06-30,36.32,$5.98,6.07
2013-03-31,37.83,$5.38,7.03
2012-12-31,35.17,$4.99,7.05
2012-09-30,30.16,$3.58,8.43
2012-06-30,28.09,$4.51,6.23
2012-03-31,31.25,$4.59,6.81
2011-12-31,30.81,$4.48,6.88
2011-09-30,24.29,$5.97,4.07
2011-06-30,35.93,$4.93,7.29
2011-03-31,40.01,$4.74,8.44
2010-12-31,40.47,$4.13,9.8
2010-09-30,33.47,$4.88,6.86
2010-06-30,26.65,$4.81,5.54
2010-03-31,30.09,$4.23,7.11
2009-12-31,28.88,$4.35,6.64
