Workiva PE Ratio Historical Data,Workiva PE Ratio Historical Data,Workiva PE Ratio Historical Data,Workiva PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,81.85,,0.0
2024-06-30,72.99,$-1.65,0.0
2024-03-31,84.8,$-1.72,0.0
2023-12-31,101.53,$-2.37,0.0
2023-09-30,101.34,$-2.55,0.0
2023-06-30,101.66,$-2.07,0.0
2023-03-31,102.41,$-2.23,0.0
2022-12-31,83.97,$-1.72,0.0
2022-09-30,77.8,$-1.74,0.0
2022-06-30,65.99,$-1.31,0.0
2022-03-31,118.0,$-0.95,0.0
2021-12-31,130.49,$-0.75,0.0
2021-09-30,140.96,$-0.63,0.0
2021-06-30,111.33,$-0.72,0.0
2021-03-31,88.26,$-0.94,0.0
2020-12-31,91.62,$-1.01,0.0
2020-09-30,55.76,$-1.20,0.0
2020-06-30,53.49,$-1.32,0.0
2020-03-31,32.33,$-1.09,0.0
2019-12-31,42.05,$-1.04,0.0
2019-09-30,43.83,$-0.86,0.0
2019-06-30,58.09,$-0.77,0.0
2019-03-31,50.7,$-1.09,0.0
2018-12-31,35.89,$-1.14,0.0
2018-09-30,39.5,$-1.31,0.0
2018-06-30,24.4,$-1.40,0.0
2018-03-31,23.7,$-1.15,0.0
2017-12-31,21.4,$-1.07,0.0
2017-09-30,20.85,$-0.91,0.0
2017-06-30,19.05,$-0.89,0.0
2017-03-31,15.65,$-0.92,0.0
2016-12-31,13.65,$-1.08,0.0
2016-09-30,18.13,$-1.16,0.0
2016-06-30,13.66,$-1.21,0.0
2016-03-31,11.65,$-1.21,0.0
2015-12-31,17.57,$-1.10,0.0
2015-09-30,15.19,$-1.22,0.0
