Suncor Energy PE Ratio Historical Data,Suncor Energy PE Ratio Historical Data,Suncor Energy PE Ratio Historical Data,Suncor Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.98,,9.04
2024-06-30,37.57,$4.31,8.72
2024-03-31,36.4,$4.49,8.11
2023-12-31,31.24,$4.70,6.65
2023-09-30,33.12,$4.60,7.2
2023-06-30,27.92,$3.37,8.29
2023-03-31,29.18,$4.52,6.46
2022-12-31,29.5,$5.01,5.89
2022-09-30,25.86,$4.36,5.93
2022-06-30,31.85,$5.17,6.16
2022-03-31,29.33,$3.42,8.58
2021-12-31,22.29,$2.22,10.04
2021-09-30,18.22,$1.29,14.12
2021-06-30,20.87,$0.81,25.77
2021-03-31,18.07,$0.05,361.46
2020-12-31,14.4,$-2.10,0.0
2020-09-30,10.39,$-3.17,0.0
2020-06-30,14.18,$-2.65,0.0
2020-03-31,13.18,$-1.06,0.0
2019-12-31,27.0,$1.36,19.85
2019-09-30,25.73,$2.37,10.86
2019-06-30,25.11,$2.71,9.27
2019-03-31,25.87,$1.87,13.83
2018-12-31,22.11,$1.55,14.26
2018-09-30,30.33,$2.35,12.91
2018-06-30,31.68,$2.12,14.94
2018-03-31,26.71,$1.85,14.44
2017-12-31,28.15,$2.08,13.53
2017-09-30,26.66,$1.66,16.06
2017-06-30,22.05,$1.22,18.07
2017-03-31,23.04,$0.67,34.39
2016-12-31,24.31,$0.18,135.05
2016-09-30,20.52,$-1.09,0.0
2016-06-30,20.31,$-1.47,0.0
2016-03-31,20.21,$-0.70,0.0
2015-12-31,18.58,$-1.02,0.0
2015-09-30,19.1,$0.06,318.27
2015-06-30,19.51,$0.81,24.08
2015-03-31,20.57,$0.53,38.82
2014-12-31,22.18,$1.65,13.45
2014-09-30,25.04,$1.87,13.39
2014-06-30,29.34,$2.40,12.23
2014-03-31,23.93,$2.71,8.83
2013-12-31,23.85,$2.49,9.58
2013-09-30,24.21,$1.85,13.09
2013-06-30,19.84,$1.78,11.15
2013-03-31,20.06,$1.54,13.03
2012-12-31,21.96,$1.79,12.27
2012-09-30,21.79,$3.07,7.1
2012-06-30,19.12,$2.81,6.8
2012-03-31,21.49,$2.94,7.31
2011-12-31,18.89,$2.68,7.05
2011-09-30,16.61,$2.63,6.32
2011-06-30,25.44,$2.52,10.1
2011-03-31,29.09,$2.49,11.68
2010-12-31,24.79,$2.25,11.02
2010-09-30,21.01,$1.66,12.66
2010-06-30,18.95,$1.71,11.08
2010-03-31,20.88,$1.36,15.35
2009-12-31,22.59,$0.75,30.12
