Houlihan Lokey PE Ratio Historical Data,Houlihan Lokey PE Ratio Historical Data,Houlihan Lokey PE Ratio Historical Data,Houlihan Lokey PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,173.93,,39.8
2024-06-30,134.35,$4.37,30.74
2024-03-31,127.71,$4.17,30.63
2023-09-30,105.72,$3.89,27.18
2023-06-30,96.53,$3.77,25.6
2023-03-31,85.37,$3.90,21.89
2022-12-31,84.57,$3.77,22.43
2022-09-30,72.75,$5.41,13.45
2022-06-30,75.66,$6.19,12.22
2022-03-31,83.64,$6.41,13.05
2021-12-31,98.19,$6.88,14.27
2021-09-30,87.0,$6.05,14.38
2021-06-30,76.9,$5.10,15.08
2021-03-31,62.17,$4.54,13.69
2020-12-31,62.53,$4.00,15.63
2020-09-30,54.65,$3.04,17.98
2020-06-30,51.21,$2.84,18.03
2020-03-31,47.72,$3.19,14.96
2019-12-31,44.48,$2.94,15.13
2019-09-30,40.79,$2.88,14.16
2023-12-31,118.95,$3.05,39.0
2019-06-30,39.99,$2.62,15.26
2019-03-31,40.9,$2.42,16.9
2018-12-31,32.64,$2.31,14.13
2018-09-30,39.59,$2.57,15.41
2018-06-30,44.88,$2.46,18.24
2018-03-31,38.86,$2.60,14.95
2017-12-31,39.41,$2.53,15.58
2017-09-30,33.79,$2.11,16.02
2017-06-30,29.97,$1.92,15.61
2017-03-31,29.41,$1.62,18.15
2016-12-31,26.4,$1.46,18.08
2016-09-30,21.13,$1.30,16.25
2016-06-30,18.74,$1.14,16.44
