Janus Henderson Group PE Ratio Historical Data,Janus Henderson Group PE Ratio Historical Data,Janus Henderson Group PE Ratio Historical Data,Janus Henderson Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.67,,13.93
2024-06-30,33.33,$2.92,11.41
2024-03-31,32.14,$2.65,12.13
2023-12-31,29.08,$2.37,12.27
2023-09-30,24.52,$2.02,12.14
2023-06-30,25.5,$2.11,12.08
2023-03-31,24.56,$2.13,11.53
2022-12-31,21.39,$2.07,10.33
2022-09-30,18.14,$2.46,7.37
2022-06-30,20.67,$2.95,7.01
2022-03-31,30.36,$3.18,9.55
2021-12-31,35.96,$3.59,10.02
2021-09-30,35.15,$3.83,9.18
2021-06-30,32.71,$3.34,9.79
2021-03-31,25.99,$3.10,8.39
2020-12-31,26.81,$0.87,30.82
2020-09-30,17.66,$0.44,40.14
2020-06-30,16.92,$0.37,45.73
2020-03-31,12.0,$0.38,31.59
2019-12-31,18.89,$2.21,8.55
2019-09-30,17.1,$2.16,7.92
2019-06-30,15.99,$2.13,7.51
2019-03-31,18.36,$2.27,8.09
2018-12-31,15.0,$4.11,3.65
2018-09-30,18.93,$4.06,4.66
2018-06-30,21.3,$3.79,5.62
2017-12-31,26.0,$3.91,6.65
