CSW Industrials PE Ratio Historical Data,CSW Industrials PE Ratio Historical Data,CSW Industrials PE Ratio Historical Data,CSW Industrials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,391.16,,55.64
2024-06-30,265.12,$7.03,37.71
2024-03-31,234.23,$6.30,37.18
2023-12-31,206.89,$5.27,39.26
2023-09-30,174.62,$6.25,27.94
2023-03-31,138.09,$6.20,22.27
2022-12-31,115.08,$5.63,20.44
2022-09-30,118.77,$6.59,18.02
2022-06-30,102.0,$5.54,18.41
2022-03-31,116.23,$4.80,24.21
2023-06-30,165.42,$4.90,33.76
2021-12-31,119.3,$3.54,33.7
2021-09-30,125.91,$3.18,39.6
2021-06-30,116.65,$3.14,37.15
2021-03-31,132.79,$2.68,49.55
2020-12-31,109.96,$3.03,36.29
2020-09-30,75.78,$3.35,22.62
2020-06-30,67.66,$2.83,23.91
2020-03-31,63.36,$3.02,20.98
2019-12-31,75.1,$2.97,25.29
2019-09-30,67.2,$2.81,23.91
2019-06-30,66.21,$3.20,20.69
2019-03-31,55.54,$2.93,18.96
2018-12-31,46.87,$2.42,19.37
2018-09-30,52.06,$-0.07,0.0
2018-06-30,51.24,$-0.58,0.0
2018-03-31,43.67,$-0.77,0.0
2017-12-31,44.55,$-1.00,0.0
2017-09-30,43.0,$1.20,35.83
2017-06-30,37.47,$0.98,38.23
2017-03-31,35.58,$0.70,50.83
2016-12-31,35.72,$0.65,54.96
2016-09-30,31.4,$0.75,41.87
