CommVault Systems PE Ratio Historical Data,CommVault Systems PE Ratio Historical Data,CommVault Systems PE Ratio Historical Data,CommVault Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,142.57,,36.65
2024-06-30,121.57,$3.89,31.25
2024-03-31,101.43,$3.76,26.98
2023-12-31,79.85,$-0.03,0.0
2023-09-30,67.61,$-0.42,0.0
2023-06-30,72.62,$-0.61,0.0
2023-03-31,56.74,$-0.81,0.0
2022-12-31,62.84,$0.34,184.82
2022-09-30,53.04,$0.56,94.71
2022-06-30,62.9,$0.50,125.8
2022-03-31,66.35,$0.71,93.45
2021-12-31,68.92,$0.67,102.87
2021-09-30,75.31,$0.49,153.69
2021-06-30,78.17,$-0.44,0.0
2021-03-31,64.5,$-0.68,0.0
2020-12-31,55.37,$-0.62,0.0
2020-09-30,40.8,$-0.66,0.0
2020-06-30,38.7,$0.07,552.86
2020-03-31,40.48,$-0.13,0.0
2019-12-31,44.64,$-0.37,0.0
2019-09-30,44.71,$-0.08,0.0
2019-06-30,49.62,$0.10,496.2
2019-03-31,64.74,$0.06,1079.0
2018-12-31,59.09,$0.07,844.14
2018-09-30,70.0,$-1.51,0.0
2018-06-30,65.85,$-1.55,0.0
2018-03-31,57.2,$-1.37,0.0
2017-12-31,52.5,$-1.26,0.0
2017-09-30,60.8,$0.04,1520.0
2017-06-30,56.45,$0.05,1129.0
2017-03-31,50.8,$0.01,5080.0
2016-12-31,51.4,$0.07,734.29
2016-09-30,53.13,$0.17,312.53
2016-06-30,43.19,$-0.02,0.0
2016-03-31,43.17,0,0.0
2015-12-31,39.35,$-0.06,0.0
2015-09-30,33.96,$-0.09,0.0
2015-06-30,42.41,$0.25,169.64
2015-03-31,43.7,$0.55,79.45
2014-12-31,51.69,$0.80,64.61
2014-09-30,50.4,$1.08,46.67
2014-06-30,49.17,$1.29,38.12
2014-03-31,64.95,$1.29,50.35
2013-12-31,74.86,$1.32,56.71
2013-09-30,87.92,$1.22,72.07
2013-06-30,75.89,$1.16,65.42
2013-03-31,82.0,$1.10,74.55
2012-12-31,69.66,$0.96,72.57
2012-09-30,58.66,$0.86,68.21
2012-06-30,49.57,$0.74,66.99
2012-03-31,49.64,$0.68,73.0
2011-12-31,42.72,$0.57,74.95
2011-09-30,37.06,$0.58,63.9
2011-06-30,44.45,$0.53,83.87
2011-03-31,39.88,$0.46,86.7
2010-12-31,28.62,$0.49,58.41
2010-09-30,26.03,$0.45,57.84
2010-06-30,22.5,$0.44,51.14
2010-03-31,21.35,$0.42,50.83
2009-12-31,23.7,$0.30,79.0
