CAE Inc PE Ratio Historical Data,CAE Inc PE Ratio Historical Data,CAE Inc PE Ratio Historical Data,CAE Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.0,,0.0
2024-06-30,18.58,$-0.76,0.0
2024-03-31,20.64,$-0.72,0.0
2023-12-31,21.59,$0.64,33.73
2023-09-30,23.35,$0.69,33.84
2023-06-30,22.38,$0.67,33.4
2023-03-31,22.63,$0.53,42.7
2022-12-31,19.34,$0.43,44.98
2022-09-30,15.33,$0.31,49.45
2022-06-30,24.62,$0.23,107.04
2022-03-31,26.08,$0.35,74.51
2021-12-31,25.24,$0.28,90.14
2021-09-30,29.87,$0.36,82.97
2021-06-30,30.8,$0.31,99.35
2021-03-31,28.49,$-0.12,0.0
2020-12-31,27.74,$0.04,693.5
2020-09-30,14.62,$0.18,81.22
2020-06-30,16.19,$0.41,39.49
2020-03-31,12.62,$0.88,14.34
2019-12-31,26.35,$1.00,26.35
2019-09-30,25.21,$0.94,26.82
2019-06-30,26.57,$0.91,29.2
2019-03-31,21.84,$0.94,23.24
2018-12-31,18.03,$0.89,20.26
2018-09-30,19.89,$1.02,19.5
2018-06-30,20.26,$1.03,19.67
2018-03-31,18.07,$1.01,17.89
2017-12-31,17.98,$0.91,19.75
2017-09-30,16.91,$0.75,22.55
2017-06-30,16.55,$0.70,23.65
2017-03-31,14.63,$0.71,20.61
2016-12-31,13.31,$0.68,19.58
2016-09-30,13.51,$0.65,20.79
2016-06-30,11.42,$0.71,16.09
2016-03-31,10.89,$0.66,16.5
2015-12-31,10.38,$0.69,15.04
2015-09-30,9.89,$0.69,14.33
2015-06-30,11.05,$0.63,17.54
2015-03-31,10.75,$0.64,16.8
2014-12-31,11.94,$0.66,18.09
2014-09-30,11.08,$0.66,16.78
2014-06-30,11.93,$0.66,18.07
2014-03-31,11.93,$0.68,17.54
2013-12-31,11.48,$0.64,17.94
2013-09-30,9.81,$0.63,15.58
2013-06-30,9.25,$0.63,14.69
2013-03-31,8.68,$0.54,16.08
2012-12-31,8.98,$0.58,15.48
2012-09-30,9.41,$0.61,15.42
2012-06-30,8.48,$0.62,13.67
2012-03-31,8.92,$0.71,12.57
2011-12-31,8.43,$0.70,12.04
2011-09-30,8.06,$0.68,11.85
2011-06-30,11.6,$0.69,16.81
2011-03-31,11.43,$0.67,17.05
2010-12-31,9.88,$0.63,15.67
2010-09-30,8.8,$0.61,14.43
2010-06-30,7.41,$0.59,12.57
2010-03-31,8.29,$0.54,15.35
2009-12-31,6.95,$0.55,12.64
