NetEase PE Ratio Historical Data,NetEase PE Ratio Historical Data,NetEase PE Ratio Historical Data,NetEase PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,79.73,,13.01
2024-06-30,95.05,$6.13,15.51
2024-03-31,102.35,$6.45,15.87
2023-12-31,91.26,$6.33,14.42
2023-09-30,97.69,$5.79,16.87
2023-06-30,93.8,$5.57,16.84
2023-03-31,85.37,$5.01,17.04
2022-12-31,69.88,$4.55,15.36
2022-09-30,72.28,$5.01,14.43
2022-06-30,88.89,$4.31,20.63
2022-03-31,85.14,$3.93,21.66
2021-12-31,96.13,$3.88,24.78
2021-09-30,80.5,$2.76,29.16
2021-06-30,108.34,$2.67,40.58
2021-03-31,96.81,$2.84,34.11
2020-12-31,89.74,$2.60,34.46
2020-09-30,85.02,$3.06,27.82
2020-06-30,80.06,$5.15,15.54
2020-03-31,59.68,$4.86,12.27
2019-12-31,56.82,$4.65,12.23
2019-09-30,48.16,$4.36,11.05
2019-06-30,46.08,$1.98,23.25
2019-03-31,43.38,$1.78,24.34
2018-12-31,42.2,$1.41,29.84
2018-09-30,40.92,$1.33,30.82
2018-06-30,45.17,$1.54,29.33
2018-03-31,50.07,$1.71,29.21
2017-12-31,61.55,$2.39,25.75
2017-09-30,46.95,$2.89,16.22
2017-06-30,53.34,$2.94,18.12
2017-03-31,50.2,$2.90,17.3
2016-12-31,37.94,$2.62,14.48
2016-09-30,42.28,$2.32,18.21
2016-06-30,33.81,$2.15,15.74
2016-03-31,25.01,$1.88,13.33
2015-12-31,31.43,$1.61,19.52
2015-09-30,20.76,$1.42,14.64
2015-06-30,24.94,$1.26,19.82
2015-03-31,18.08,$1.21,14.99
2014-12-31,16.96,$1.17,14.47
2014-09-30,14.6,$1.17,12.44
2014-06-30,13.3,$1.15,11.59
2014-03-31,11.37,$1.13,10.1
2013-12-31,13.01,$1.11,11.68
2013-09-30,12.02,$1.05,11.49
2013-06-30,10.46,$0.98,10.67
2013-03-31,9.07,$0.92,9.9
2012-12-31,6.89,$0.88,7.83
2012-09-30,9.09,$0.85,10.67
2012-06-30,9.53,$0.85,11.16
2012-03-31,9.41,$0.83,11.39
2011-12-31,7.26,$0.77,9.43
2011-09-30,6.18,$0.72,8.61
2011-06-30,7.3,$0.65,11.16
2011-03-31,8.02,$0.58,13.77
2010-12-31,5.85,$0.51,11.43
2010-09-30,6.39,$0.47,13.47
2010-06-30,5.13,$0.43,12.0
2010-03-31,5.75,$0.42,13.56
2009-12-31,6.09,$0.42,14.64
