Carpenter Technology PE Ratio Historical Data,Carpenter Technology PE Ratio Historical Data,Carpenter Technology PE Ratio Historical Data,Carpenter Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,159.57,,43.13
2024-06-30,109.43,$3.70,29.58
2024-03-31,71.14,$2.63,27.05
2023-12-31,70.31,$2.89,24.33
2023-09-30,66.52,$2.17,30.66
2023-06-30,55.36,$1.15,48.14
2023-03-31,43.98,$0.42,104.71
2022-12-31,36.15,$-0.12,0.0
2022-09-30,30.3,$-0.86,0.0
2022-06-30,27.01,$-1.03,0.0
2022-03-31,40.41,$-2.26,0.0
2021-12-31,27.91,$-2.94,0.0
2021-09-30,31.1,$-4.09,0.0
2021-06-30,37.98,$-4.76,0.0
2021-03-31,38.66,$-6.04,0.0
2020-12-31,27.19,$-4.38,0.0
2020-09-30,16.77,$-1.83,0.0
2020-06-30,22.21,0,0.0
2020-03-31,17.67,$3.46,5.11
2019-12-31,44.88,$3.69,12.16
2019-09-30,46.4,$3.63,12.78
2019-06-30,43.09,$3.43,12.56
2019-03-31,41.02,$3.31,12.39
2018-12-31,31.72,$2.89,10.97
2018-09-30,52.31,$4.08,12.82
2018-06-30,46.49,$3.92,11.86
2018-03-31,38.89,$3.58,10.86
2017-12-31,44.77,$3.39,13.21
2017-09-30,42.02,$1.62,25.94
2017-06-30,32.59,$1.45,22.47
2017-03-31,32.33,$0.40,80.83
2016-12-31,31.22,$0.19,164.33
2016-06-30,28.16,$0.22,127.98
2016-03-31,29.12,$0.34,85.65
2015-12-31,25.59,$0.72,35.54
2015-09-30,25.03,$0.46,54.4
2015-06-30,32.36,$0.73,44.33
2016-09-30,35.45,$0.54,65.65
2015-03-31,32.39,$1.38,23.47
2014-12-31,40.85,$1.98,20.63
2014-09-30,37.31,$2.30,16.22
2014-06-30,52.1,$2.67,19.51
2014-03-31,54.24,$2.58,21.02
2013-06-30,36.68,$2.75,13.34
2013-03-31,39.96,$2.75,14.53
2012-12-31,41.71,$2.82,14.79
2012-09-30,42.13,$2.72,15.49
2012-06-30,38.38,$2.51,15.29
2012-03-31,41.77,$2.31,18.08
2011-12-31,41.03,$2.26,18.16
2011-09-30,35.65,$2.29,15.57
2011-06-30,45.63,$1.97,23.16
2011-03-31,33.67,$1.57,21.45
2013-12-31,50.93,$1.06,48.05
2010-12-31,31.59,$0.56,56.4
2010-09-30,26.33,$0.43,61.23
2010-06-30,25.5,$0.91,28.02
2010-03-31,28.3,$0.57,49.65
2009-12-31,20.7,$0.04,517.44
2013-09-30,47.44,$0.26,182.46
