Tanger PE Ratio Historical Data,Tanger PE Ratio Historical Data,Tanger PE Ratio Historical Data,Tanger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.45,,38.28
2024-06-30,26.85,$0.90,29.84
2024-03-31,28.97,$0.91,31.84
2023-12-31,26.94,$0.92,29.29
2023-09-30,21.7,$0.87,24.95
2023-06-30,20.97,$0.83,25.27
2023-03-31,18.41,$0.79,23.3
2022-12-31,16.63,$0.77,21.59
2022-09-30,12.53,$0.72,17.4
2022-06-30,12.86,$0.39,32.97
2022-03-31,15.36,$0.22,69.83
2021-12-31,17.04,$0.07,243.48
2021-09-30,14.26,$-0.05,0.0
2021-06-30,16.32,$0.20,81.61
2021-03-31,12.97,$-0.07,0.0
2020-12-31,8.45,$-0.24,0.0
2020-09-30,5.11,$0.01,511.43
2020-06-30,6.05,$0.02,302.37
2019-12-31,11.67,$0.93,12.55
2019-09-30,12.01,$1.26,9.53
2019-06-30,12.3,$0.71,17.33
2019-03-31,15.62,$0.32,48.83
2018-12-31,14.83,$-0.10,0.0
2020-03-31,4.05,$-0.06,0.0
2018-09-30,16.53,$0.57,29.0
2018-06-30,16.72,$0.64,26.13
2018-03-31,15.42,$0.71,21.72
2017-12-31,18.33,$0.70,26.18
2017-09-30,16.64,$0.62,26.83
2017-06-30,17.48,$1.51,11.58
2017-03-31,21.81,$1.96,11.13
2016-12-31,23.59,$2.86,8.25
2016-09-30,25.44,$3.07,8.29
2016-06-30,26.03,$2.61,9.97
2015-12-31,20.81,$2.21,9.42
2015-09-30,20.68,$1.26,16.42
2015-06-30,19.71,$1.08,18.25
2015-03-31,21.69,$1.06,20.46
2014-12-31,22.66,$0.90,25.17
2016-03-31,23.36,$0.87,26.86
2014-09-30,19.92,$0.82,24.29
2014-06-30,21.15,$1.14,18.55
2014-03-31,21.02,$1.12,18.77
2013-12-31,19.1,$1.13,16.91
2013-09-30,19.35,$1.09,17.75
2013-06-30,19.7,$0.69,28.55
2013-03-31,21.17,$0.63,33.61
2012-12-31,19.89,$0.56,35.53
2012-09-30,18.68,$0.52,35.92
2012-06-30,18.4,$0.50,36.8
2012-03-31,16.95,$0.49,34.6
2011-12-31,16.61,$0.51,32.56
2011-09-30,14.62,$0.48,30.47
2011-06-30,14.94,$0.49,30.81
2011-03-31,14.54,$0.42,35.04
2010-12-31,14.08,$0.32,44.0
2010-09-30,12.86,$0.33,39.58
2010-06-30,11.19,$0.21,53.31
2010-03-31,11.57,$0.32,36.15
2009-12-31,10.35,$0.77,13.53
