"Copa Holdings, S.A PE Ratio Historical Data","Copa Holdings, S.A PE Ratio Historical Data","Copa Holdings, S.A PE Ratio Historical Data","Copa Holdings, S.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,101.73,,6.23
2024-06-30,93.51,$16.34,5.72
2024-03-31,102.34,$13.90,7.36
2023-12-31,102.74,$12.78,8.04
2023-09-30,85.37,$10.46,8.16
2023-06-30,104.96,$8.67,12.11
2023-03-31,86.18,$11.24,7.67
2022-12-31,77.61,$8.64,8.98
2022-09-30,62.53,$9.10,6.87
2022-06-30,59.14,$6.36,9.3
2022-03-31,78.05,$4.01,19.46
2021-12-31,77.14,$0.94,82.06
2021-09-30,75.94,$-5.72,0.0
2021-06-30,70.3,$-8.69,0.0
2021-03-31,75.39,$-18.43,0.0
2020-12-31,72.07,$-14.08,0.0
2020-09-30,46.98,$-10.05,0.0
2020-06-30,47.18,$-4.82,0.0
2020-03-31,42.26,$5.46,7.74
2019-12-31,99.88,$5.82,17.16
2019-09-30,90.7,$2.09,43.39
2019-06-30,89.05,$1.00,89.05
2019-03-31,73.04,$0.98,74.53
2018-12-31,70.8,$2.09,33.87
2018-09-30,71.81,$8.14,8.82
2018-06-30,84.17,$9.23,9.12
2018-03-31,113.54,$9.54,11.9
2017-12-31,117.57,$8.73,13.47
2017-09-30,108.61,$8.61,12.61
2017-06-30,101.41,$7.91,12.82
2017-03-31,96.85,$7.71,12.56
2016-12-31,77.99,$8.04,9.7
2016-09-30,75.07,$5.82,12.9
2016-06-30,44.33,$4.21,10.53
2016-03-31,56.9,$4.38,12.99
2015-12-31,40.2,$4.21,9.55
2015-09-30,34.38,$4.98,6.9
2015-06-30,66.61,$6.33,10.52
2015-03-31,80.65,$7.53,10.71
2014-12-31,82.2,$8.37,9.82
2014-09-30,84.35,$10.13,8.33
2014-06-30,111.23,$11.48,9.69
2014-03-31,112.5,$10.50,10.71
2013-12-31,123.19,$9.65,12.77
2013-09-30,106.19,$9.03,11.76
2013-06-30,99.82,$8.71,11.46
2013-03-31,91.06,$7.75,11.75
2012-12-31,75.71,$7.35,10.3
2012-09-30,60.44,$7.76,7.79
2012-06-30,61.34,$6.83,8.98
2012-03-31,57.45,$7.04,8.16
2011-12-31,42.56,$7.02,6.06
2011-09-30,44.44,$6.77,6.56
2011-06-30,48.41,$6.63,7.3
2011-03-31,37.31,$6.12,6.1
2010-12-31,41.58,$4.82,8.63
2010-09-30,38.09,$4.32,8.82
2010-06-30,31.25,$3.86,8.1
2010-03-31,42.02,$4.70,8.94
2009-12-31,37.65,$5.51,6.83
