East West Bancorp PE Ratio Historical Data,East West Bancorp PE Ratio Historical Data,East West Bancorp PE Ratio Historical Data,East West Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,93.07,,11.93
2024-06-30,72.73,$7.80,9.32
2024-03-31,78.0,$7.94,9.82
2023-12-31,70.38,$8.18,8.6
2023-09-30,51.1,$8.86,5.77
2023-06-30,50.79,$8.92,5.69
2023-03-31,52.9,$8.53,6.2
2022-12-31,62.43,$7.92,7.88
2022-09-30,63.26,$7.07,8.95
2022-06-30,60.71,$6.56,9.25
2022-03-31,73.62,$6.32,11.65
2021-12-31,72.97,$6.10,11.96
2021-09-30,71.62,$5.73,12.5
2021-06-30,65.91,$5.28,12.48
2021-03-31,67.56,$4.41,15.32
2020-12-31,46.19,$3.97,11.63
2020-09-30,29.6,$4.11,7.2
2020-06-30,32.51,$4.16,7.81
2020-03-31,22.9,$4.49,5.1
2019-12-31,43.08,$4.61,9.34
2019-09-30,38.93,$4.50,8.65
2019-06-30,40.87,$4.50,9.08
2019-03-31,41.7,$4.65,8.97
2018-12-31,37.67,$4.81,7.83
2018-09-30,52.01,$4.21,12.35
2018-06-30,55.97,$3.95,14.17
2018-03-31,53.53,$3.58,14.95
2017-12-31,51.91,$3.46,15.0
2017-09-30,50.84,$3.64,13.97
2017-06-30,49.65,$3.49,14.23
2017-03-31,43.58,$3.39,12.86
2016-12-31,42.76,$2.97,14.4
2016-09-30,30.73,$2.84,10.82
2016-06-30,28.44,$2.73,10.42
2016-03-31,26.89,$2.70,9.96
2015-12-31,34.19,$2.65,12.9
2015-09-30,31.45,$2.67,11.78
2015-06-30,36.53,$2.64,13.84
2015-03-31,32.82,$2.54,12.92
2014-12-31,31.23,$2.39,13.07
2014-09-30,27.29,$2.29,11.92
2014-06-30,27.94,$2.20,12.7
2014-03-31,28.99,$2.14,13.55
2013-12-31,27.63,$2.10,13.16
2013-09-30,25.14,$2.04,12.32
2013-06-30,21.53,$1.99,10.82
2013-03-31,19.97,$1.94,10.3
2012-12-31,16.62,$1.89,8.79
2012-09-30,16.25,$1.83,8.88
2012-06-30,17.97,$1.76,10.21
2012-03-31,17.61,$1.68,10.48
2011-12-31,14.99,$1.60,9.37
2011-09-30,11.29,$1.39,8.12
2011-06-30,15.26,$1.25,12.2
2011-03-31,16.54,$1.07,15.46
2010-12-31,14.72,$2.66,5.53
2010-09-30,12.25,$1.53,8.01
2010-06-30,11.47,$-0.57,0.0
2009-12-31,11.87,$-1.28,0.0
2009-09-30,6.23,$-3.11,0.0
