Graco PE Ratio Historical Data,Graco PE Ratio Historical Data,Graco PE Ratio Historical Data,Graco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,85.9,,29.72
2024-06-30,79.04,$2.89,27.35
2024-03-31,92.91,$2.90,32.04
2023-12-31,85.99,$2.94,29.25
2023-09-30,72.0,$3.04,23.68
2023-06-30,85.08,$2.94,28.94
2023-03-31,71.7,$2.84,25.25
2022-12-31,65.83,$2.78,23.68
2022-09-30,58.47,$2.63,22.23
2022-06-30,57.74,$2.59,22.29
2021-12-31,77.38,$2.52,30.71
2021-09-30,66.98,$2.49,26.9
2021-06-30,72.29,$2.48,29.15
2021-03-31,68.22,$2.51,27.18
2020-12-31,68.74,$2.07,33.21
2022-03-31,67.11,$1.83,36.67
2020-09-30,58.14,$1.74,33.41
2020-06-30,45.32,$1.57,28.87
2020-03-31,45.85,$1.83,25.06
2019-12-31,48.77,$1.95,25.01
2019-09-30,43.03,$1.97,21.84
2018-12-31,38.73,$1.97,19.66
2018-09-30,42.74,$1.75,24.42
2018-06-30,41.58,$1.64,25.31
2018-03-31,41.92,$1.59,26.31
2017-12-31,41.46,$1.45,28.53
2017-09-30,37.7,$0.63,59.53
2017-06-30,33.2,$0.52,64.25
2017-03-31,28.49,$0.35,80.61
2016-12-31,25.04,$0.24,105.78
2016-09-30,22.2,$1.16,19.13
2016-06-30,23.59,$1.13,20.88
2016-03-31,24.98,$1.80,13.88
2015-12-31,21.34,$1.95,10.96
2015-09-30,19.76,$1.90,10.4
2015-06-30,20.84,$1.94,10.76
2015-03-31,21.09,$1.33,15.9
2014-12-31,23.34,$1.22,19.18
2014-09-30,21.16,$1.19,17.83
2014-06-30,22.56,$1.16,19.45
2014-03-31,21.51,$1.11,19.38
2013-12-31,22.41,$1.12,20.01
2013-09-30,21.17,$1.11,19.07
2013-06-30,18.01,$1.01,17.77
2013-03-31,16.46,$0.89,18.42
2012-12-31,14.54,$0.81,18.02
2012-09-30,14.13,$0.75,18.92
2012-06-30,12.88,$0.75,17.25
2012-03-31,14.77,$1.07,13.81
2011-12-31,11.32,$1.08,10.48
2011-09-30,9.4,$1.12,8.42
2019-06-30,46.75,$1.06,43.97
2011-06-30,13.89,$0.72,19.3
2011-03-31,12.41,$0.65,19.0
2010-12-31,10.71,$0.96,11.16
2010-09-30,8.56,$0.93,9.24
2010-06-30,7.56,$0.85,8.86
2019-03-31,46.0,$0.81,56.55
2010-03-31,8.53,$0.37,23.26
2009-12-31,7.56,$0.27,28.01
