ICU Medical PE Ratio Historical Data,ICU Medical PE Ratio Historical Data,ICU Medical PE Ratio Historical Data,ICU Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,180.51,,0.0
2024-06-30,118.75,$-2.92,0.0
2024-03-31,107.32,$-2.45,0.0
2023-12-31,99.74,$-1.23,0.0
2023-09-30,119.01,$-1.17,0.0
2023-06-30,178.19,$-2.02,0.0
2023-03-31,164.96,$-1.92,0.0
2022-12-31,157.48,$-3.12,0.0
2022-09-30,150.6,$-1.56,0.0
2022-06-30,164.39,$0.42,391.4
2022-03-31,222.64,$2.04,109.14
2021-12-31,237.34,$4.74,50.07
2021-09-30,233.38,$5.04,46.31
2021-06-30,205.8,$4.77,43.14
2021-03-31,205.44,$4.34,47.34
2020-12-31,214.49,$4.03,53.22
2020-09-30,182.76,$3.78,48.35
2020-06-30,184.31,$3.86,47.75
2020-03-31,201.77,$4.04,49.94
2019-12-31,187.12,$4.70,39.81
2019-09-30,159.6,$3.38,47.22
2019-06-30,251.91,$2.15,117.17
2019-03-31,239.33,$2.53,94.6
2018-12-31,229.63,$1.32,173.96
2018-09-30,282.75,$4.01,70.51
2018-06-30,293.65,$4.01,73.23
2018-03-31,252.4,$0.70,360.57
2017-12-31,216.0,$3.33,64.86
2017-09-30,185.85,$1.54,120.68
2017-06-30,172.5,$2.62,65.84
2017-03-31,152.7,$5.47,27.92
2016-12-31,147.35,$3.57,41.27
2016-09-30,126.38,$3.36,37.61
2016-06-30,112.75,$3.25,34.69
2016-03-31,104.1,$3.10,33.58
2015-12-31,112.78,$2.74,41.16
2015-09-30,109.5,$2.87,38.15
2015-06-30,95.66,$2.31,41.41
2015-03-31,93.14,$1.86,50.08
2014-12-31,81.9,$1.69,48.46
2014-09-30,64.18,$2.09,30.71
2014-06-30,60.81,$2.39,25.44
2014-03-31,59.88,$2.49,24.05
2013-12-31,63.71,$2.64,24.13
2013-09-30,67.93,$2.60,26.13
2013-06-30,72.06,$2.70,26.69
2013-03-31,58.95,$2.85,20.68
2012-12-31,60.93,$2.80,21.76
2012-09-30,60.48,$3.24,18.67
2012-06-30,53.38,$3.07,17.39
2012-03-31,49.16,$3.11,15.81
2011-12-31,45.0,$3.15,14.29
2011-09-30,36.8,$2.61,14.1
2011-06-30,43.7,$2.61,16.74
2011-03-31,43.78,$2.50,17.51
2010-12-31,36.5,$2.23,16.37
2010-09-30,37.29,$2.01,18.55
2010-06-30,32.17,$1.78,18.07
2010-03-31,34.45,$1.60,21.53
2009-12-31,36.44,$1.77,20.59
