Littelfuse PE Ratio Historical Data,Littelfuse PE Ratio Historical Data,Littelfuse PE Ratio Historical Data,Littelfuse PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,262.24,,33.79
2024-06-30,254.93,$7.76,32.85
2024-03-31,241.12,$8.73,27.62
2023-12-31,265.49,$10.34,25.68
2023-09-30,244.73,$12.37,19.78
2023-06-30,287.55,$13.09,21.97
2023-03-31,264.02,$13.78,19.16
2022-12-31,216.36,$14.94,14.48
2022-09-30,194.74,$13.28,14.66
2022-06-30,248.37,$13.95,17.8
2022-03-31,243.35,$13.77,17.67
2021-12-31,306.39,$11.39,26.9
2021-09-30,265.64,$11.70,22.7
2021-06-30,247.2,$10.26,24.09
2021-03-31,256.08,$6.59,38.86
2020-12-31,246.17,$5.27,46.71
2020-09-30,171.07,$3.80,45.02
2020-06-30,164.17,$2.99,54.91
2020-03-31,127.98,$5.11,25.04
2019-12-31,183.02,$5.59,32.74
2019-09-30,169.19,$5.96,28.39
2019-06-30,168.3,$6.62,25.42
2019-03-31,173.16,$6.54,26.48
2018-12-31,162.35,$6.51,24.94
2018-09-30,186.9,$4.74,39.43
2018-06-30,215.08,$4.51,47.69
2018-03-31,195.89,$4.95,39.57
2017-12-31,185.82,$5.19,35.8
2017-09-30,183.67,$6.86,26.77
2017-06-30,154.4,$6.34,24.35
2017-03-31,149.33,$5.43,27.5
2016-12-31,141.44,$4.59,30.81
2016-09-30,119.77,$4.40,27.22
2016-06-30,109.61,$3.55,30.88
2016-03-31,113.87,$3.61,31.54
2015-12-31,98.73,$3.64,27.12
2015-09-30,83.85,$3.50,23.96
2015-06-30,87.04,$4.32,20.15
2015-03-31,90.94,$4.14,21.97
2014-12-31,88.22,$4.38,20.14
2014-09-30,77.53,$4.56,17.0
2014-06-30,84.37,$4.43,19.05
2014-03-31,84.78,$4.53,18.72
2013-12-31,83.94,$3.85,21.8
2013-09-30,70.47,$3.89,18.12
2013-06-30,67.03,$3.77,17.78
2012-12-31,55.12,$3.40,16.21
2012-09-30,50.31,$3.66,13.75
2012-06-30,50.44,$3.24,15.57
2012-03-31,55.42,$3.29,16.84
2011-12-31,37.86,$3.59,10.55
2013-03-31,60.79,$3.85,15.79
2011-09-30,35.28,$4.07,8.67
2011-06-30,51.31,$3.99,12.86
2011-03-31,49.77,$3.78,13.17
2010-12-31,40.9,$3.51,11.65
2010-09-30,37.85,$3.16,11.98
2010-06-30,27.38,$2.49,11.0
2010-03-31,32.92,$1.47,22.4
2009-12-31,27.85,$0.42,66.3
