Banco Bradesco SA PE Ratio Historical Data,Banco Bradesco SA PE Ratio Historical Data,Banco Bradesco SA PE Ratio Historical Data,Banco Bradesco SA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.67,,13.35
2024-06-30,2.2,$0.20,11.0
2024-03-31,2.71,$0.20,13.54
2023-09-30,2.58,$0.25,10.33
2023-06-30,3.12,$0.30,10.44
2023-03-31,2.33,$0.40,5.83
2022-03-31,3.52,$0.40,8.89
2021-09-30,2.85,$0.34,8.35
2021-03-31,3.1,$0.38,8.27
2020-09-30,2.22,$0.42,5.29
2020-03-31,2.61,$0.48,5.47
2019-03-31,5.5,$0.51,10.81
2018-03-31,5.26,$0.50,10.47
2017-03-31,3.94,$0.50,7.96
2016-03-31,2.48,$0.52,4.81
2015-06-30,2.91,$0.56,5.18
2015-03-31,2.93,$0.58,5.02
2014-12-31,3.49,$0.59,5.9
2014-09-30,3.66,$0.57,6.39
2014-06-30,3.72,$0.56,6.69
2014-03-31,3.48,$0.52,6.67
2013-12-31,3.15,$0.51,6.14
2013-09-30,3.44,$0.52,6.62
2013-06-30,3.22,$0.52,6.16
2013-03-31,4.17,$0.53,7.83
2012-12-31,3.86,$0.53,7.21
2012-09-30,3.51,$0.54,6.47
2012-06-30,3.24,$0.56,5.75
2012-03-31,3.78,$0.60,6.31
2011-12-31,3.59,$0.62,5.79
2011-09-30,3.11,$0.63,4.93
2011-06-30,4.3,$0.62,6.97
2011-03-31,4.33,$0.58,7.49
2010-12-31,4.19,$0.53,7.95
2010-09-30,4.14,$0.49,8.49
2010-06-30,2.92,$0.45,6.52
2010-03-31,3.37,$0.44,7.7
2009-12-31,3.63,$0.40,9.11
