Hanover Insurance PE Ratio Historical Data,Hanover Insurance PE Ratio Historical Data,Hanover Insurance PE Ratio Historical Data,Hanover Insurance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,154.91,,20.6
2024-06-30,124.72,$7.52,16.58
2024-03-31,134.44,$4.46,30.14
2023-12-31,119.09,$0.95,125.36
2023-09-30,108.11,$-2.02,0.0
2023-06-30,109.31,$-1.63,0.0
2022-12-31,128.96,$3.21,40.17
2022-09-30,121.57,$8.07,15.06
2022-06-30,138.0,$7.72,17.88
2022-03-31,140.35,$8.03,17.48
2021-12-31,122.35,$8.65,14.14
2023-03-31,123.39,$6.63,18.61
2021-09-30,120.32,$11.40,10.55
2021-06-30,125.27,$13.59,9.22
2021-03-31,118.96,$13.08,9.09
2020-12-31,106.85,$9.53,11.21
2020-09-30,84.65,$7.86,10.77
2020-06-30,91.43,$7.69,11.89
2020-03-31,81.21,$6.47,12.55
2019-12-31,121.69,$10.48,11.61
2019-09-30,117.95,$10.60,11.13
2019-06-30,111.14,$9.97,11.15
2019-03-31,98.43,$10.49,9.38
2018-12-31,95.99,$9.09,10.56
2018-09-30,100.86,$7.41,13.61
2018-06-30,97.3,$5.34,18.22
2018-03-31,95.52,$4.86,19.66
2017-12-31,87.16,$4.34,20.08
2017-09-30,77.76,$2.82,27.57
2017-06-30,70.73,$4.62,15.31
2017-03-31,71.45,$2.84,25.16
2016-12-31,71.8,$3.55,20.23
2016-09-30,59.17,$5.61,10.55
2016-06-30,65.98,$6.23,10.59
2015-12-31,62.75,$7.40,8.48
2015-09-30,59.6,$7.64,7.8
2015-06-30,56.5,$7.70,7.34
2015-03-31,55.08,$6.24,8.83
2014-12-31,53.8,$6.86,7.84
2016-03-31,69.97,$6.08,11.51
2014-09-30,46.06,$5.84,7.89
2014-06-30,47.08,$5.99,7.86
2014-03-31,45.53,$5.34,8.53
2013-12-31,43.97,$5.58,7.88
2013-09-30,40.49,$2.78,14.56
2013-06-30,35.58,$2.30,15.47
2013-03-31,35.88,$1.57,22.85
2012-12-31,27.77,$1.20,23.14
2012-09-30,26.47,$3.53,7.5
2012-06-30,27.58,$2.43,11.35
2012-03-31,28.75,$1.27,22.64
2011-12-31,24.26,$0.82,29.58
2011-09-30,24.43,$1.00,24.43
2011-06-30,25.74,$2.36,10.91
2011-03-31,30.67,$3.11,9.86
2010-12-31,31.3,$3.34,9.37
2010-09-30,31.32,$3.21,9.76
2010-06-30,28.82,$3.03,9.51
2010-03-31,28.73,$4.23,6.79
2009-12-31,29.1,$3.86,7.54
