Avient PE Ratio Historical Data,Avient PE Ratio Historical Data,Avient PE Ratio Historical Data,Avient PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.28,,40.38
2024-06-30,43.41,$1.27,34.18
2024-03-31,42.91,$1.15,37.31
2023-12-31,40.84,$0.83,49.21
2023-09-30,34.48,$6.50,5.3
2023-06-30,39.66,$6.33,6.27
2023-03-31,39.67,$7.01,5.66
2022-12-31,32.33,$7.70,4.2
2022-09-30,28.8,$2.04,14.12
2022-06-30,37.87,$2.72,13.92
2022-03-31,45.08,$2.54,17.75
2021-12-31,52.29,$2.44,21.43
2021-09-30,43.13,$2.14,20.15
2021-06-30,45.54,$1.82,25.02
2020-12-31,36.99,$1.46,25.34
2020-09-30,24.17,$6.65,3.63
2020-06-30,23.79,$7.49,3.18
2020-03-31,17.06,$7.80,2.19
2019-12-31,32.66,$7.96,4.1
2021-03-31,43.59,$2.45,17.79
2019-09-30,28.8,$1.73,16.65
2019-06-30,27.54,$1.79,15.38
2019-03-31,25.54,$1.88,13.59
2018-12-31,24.76,$1.97,12.57
2018-09-30,37.61,$2.29,16.42
2018-06-30,37.03,$2.14,17.3
2018-03-31,36.28,$-0.69,0.0
2017-12-31,36.96,$-0.70,0.0
2017-09-30,33.88,$-0.76,0.0
2017-06-30,32.67,$-0.73,0.0
2017-03-31,28.65,$2.06,13.91
2016-12-31,26.81,$1.95,13.75
2016-09-30,28.18,$1.59,17.72
2016-06-30,29.26,$1.59,18.4
2016-03-31,25.04,$1.34,18.68
2015-12-31,26.18,$0.72,36.36
2015-09-30,24.1,$1.03,23.39
2015-03-31,30.5,$0.87,35.06
2014-12-31,30.88,$0.84,36.76
2014-09-30,28.9,$1.25,23.12
2014-06-30,34.16,$1.64,20.83
2014-03-31,29.66,$1.54,19.26
2013-12-31,28.53,$3.06,9.33
2015-06-30,32.07,$2.97,10.8
2013-09-30,24.73,$2.26,10.94
2013-06-30,19.91,$2.29,8.7
2013-03-31,19.57,$0.73,26.81
2012-12-31,16.33,$0.79,20.67
2012-09-30,13.22,$0.89,14.85
2012-06-30,10.88,$0.85,12.8
2012-03-31,11.41,$0.88,12.96
2011-12-31,9.12,$1.80,5.06
2011-09-30,8.42,$2.67,3.16
2011-06-30,12.13,$2.45,4.95
2011-03-31,11.11,$2.62,4.24
2010-12-31,9.73,$1.67,5.83
2010-09-30,9.42,$0.92,10.24
2010-06-30,6.56,$1.44,4.56
2010-03-31,7.98,$1.01,7.9
2009-12-31,5.82,$0.72,8.09
