ArcelorMittal PE Ratio Historical Data,ArcelorMittal PE Ratio Historical Data,ArcelorMittal PE Ratio Historical Data,ArcelorMittal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.89,,0.0
2024-06-30,22.93,$-0.68,0.0
2024-03-31,27.32,$0.89,30.7
2023-12-31,28.12,$1.00,28.12
2023-09-30,24.55,$4.87,5.04
2023-06-30,26.81,$4.88,5.49
2023-03-31,29.3,$6.92,4.23
2022-12-31,25.5,$9.92,2.57
2022-09-30,19.37,$13.54,1.43
2022-06-30,21.98,$16.59,1.33
2022-03-31,30.71,$15.81,1.94
2021-12-31,30.54,$13.47,2.27
2021-09-30,28.93,$10.55,2.74
2021-06-30,29.8,$6.18,4.82
2021-03-31,27.73,$2.22,12.49
2020-12-31,21.77,$-0.82,0.0
2020-09-30,12.6,$-3.68,0.0
2020-06-30,10.2,$-4.00,0.0
2020-03-31,8.87,$-3.94,0.0
2019-12-31,16.67,$-2.42,0.0
2019-09-30,13.54,$0.61,22.19
2019-06-30,17.14,$2.02,8.48
2019-03-31,19.15,$4.29,4.46
2018-12-31,19.42,$5.05,3.85
2018-09-30,28.99,$4.89,5.93
2018-06-30,27.04,$5.19,5.21
2018-03-31,29.8,$4.65,6.41
2017-12-31,30.27,$4.47,6.77
2017-09-30,24.13,$3.85,6.27
2017-06-30,21.3,$3.33,6.39
2017-03-31,23.47,$3.18,7.38
2016-12-31,20.52,$1.50,13.68
2016-09-30,16.98,$-10.05,0.0
2016-06-30,13.1,$-11.91,0.0
2016-03-31,12.87,$-12.75,0.0
2015-12-31,11.86,$-13.29,0.0
2015-09-30,14.47,$-3.72,0.0
2015-06-30,27.32,$-2.49,0.0
2015-03-31,25.97,$-2.70,0.0
2014-12-31,30.41,$-1.80,0.0
2014-09-30,37.74,$-2.28,0.0
2014-06-30,41.16,$-2.67,0.0
2014-03-31,43.97,$-4.08,0.0
2013-12-31,48.57,$-4.38,0.0
2013-09-30,37.22,$-10.05,0.0
2013-06-30,30.49,$-11.07,0.0
2013-03-31,34.94,$-8.07,0.0
2012-12-31,46.85,$-7.41,0.0
2012-09-30,38.24,$-1.62,0.0
2012-06-30,39.96,$0.33,121.06
2012-03-31,49.43,$1.44,34.32
2011-12-31,46.59,$3.48,13.39
2011-09-30,40.32,$3.90,10.34
2011-06-30,87.25,$5.97,14.61
2011-03-31,90.22,$5.43,16.61
2010-12-31,94.69,$4.41,21.47
2010-09-30,81.45,$8.04,10.13
2010-06-30,65.68,$7.20,9.12
2010-03-31,107.11,$3.24,33.06
2009-12-31,111.07,$-0.15,0.0
