Flowers Foods PE Ratio Historical Data,Flowers Foods PE Ratio Historical Data,Flowers Foods PE Ratio Historical Data,Flowers Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.07,,37.82
2024-06-30,21.98,$0.61,36.02
2024-03-31,23.51,$0.59,39.85
2023-12-31,22.06,$0.58,38.03
2023-09-30,21.49,$0.64,33.59
2023-06-30,23.88,$1.05,22.74
2023-03-31,26.07,$1.00,26.07
2022-12-31,27.12,$1.07,25.35
2022-09-30,23.13,$1.02,22.67
2022-06-30,24.46,$1.01,24.22
2022-03-31,23.69,$1.02,23.22
2021-12-31,25.12,$0.96,26.16
2021-09-30,21.43,$1.04,20.61
2021-06-30,21.76,$1.07,20.33
2021-03-31,21.22,$1.08,19.65
2020-12-31,20.0,$0.71,28.16
2020-09-30,21.3,$0.46,46.31
2020-06-30,19.42,$0.45,43.16
2020-03-31,17.67,$0.43,41.09
2019-12-31,18.56,$0.77,24.1
2019-09-30,19.58,$0.86,22.76
2019-06-30,19.53,$0.85,22.98
2019-03-31,17.75,$0.81,21.91
2018-12-31,15.24,$0.74,20.59
2018-09-30,15.4,$1.01,15.24
2018-06-30,17.03,$0.66,25.81
2018-03-31,17.72,$0.66,26.85
2017-12-31,15.52,$0.71,21.86
2017-09-30,14.99,$0.40,37.48
2017-06-30,13.66,$0.75,18.22
2017-03-31,15.18,$0.78,19.46
2016-12-31,15.49,$0.77,20.12
2016-09-30,11.61,$0.86,13.5
2016-06-30,14.24,$0.88,16.19
2016-03-31,13.9,$0.88,15.8
2015-12-31,16.05,$0.89,18.03
2015-09-30,18.36,$0.87,21.1
2015-06-30,15.6,$0.87,17.93
2015-03-31,16.66,$0.83,20.07
2014-12-31,13.97,$0.83,16.83
2014-09-30,13.27,$0.88,15.08
2014-06-30,15.15,$0.83,18.25
2014-03-31,15.32,$0.85,18.03
2013-12-31,15.25,$1.10,13.87
2013-09-30,15.15,$1.11,13.69
2013-06-30,15.5,$1.09,14.18
2013-03-31,15.36,$1.01,15.16
2012-12-31,10.79,$0.66,16.35
2012-09-30,9.29,$0.59,15.84
2012-06-30,10.62,$0.59,17.89
2012-03-31,9.25,$0.59,15.58
2011-12-31,8.55,$0.61,14.09
2011-09-30,8.7,$0.64,13.5
2011-06-30,9.78,$0.64,15.22
2011-03-31,7.99,$0.67,11.99
2010-12-31,7.84,$0.66,11.84
2010-09-30,7.18,$0.66,10.92
2010-06-30,7.01,$0.66,10.66
2010-03-31,7.04,$0.64,11.0
2009-12-31,6.72,$0.62,10.8
