Royalty Pharma PE Ratio Historical Data,Royalty Pharma PE Ratio Historical Data,Royalty Pharma PE Ratio Historical Data,Royalty Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.05,,24.82
2024-06-30,26.37,$1.13,23.34
2024-03-31,30.37,$1.34,22.66
2023-12-31,28.09,$1.89,14.86
2023-09-30,27.14,$0.31,87.55
2023-06-30,30.74,$0.43,71.49
2023-03-31,36.03,$0.55,65.51
2022-12-31,39.52,$0.08,494.0
2022-09-30,40.18,$0.84,47.83
2022-06-30,41.86,$0.77,54.36
2022-03-31,38.61,$1.00,38.61
2021-12-31,39.3,$1.02,38.53
2021-09-30,35.5,$1.29,27.52
2021-06-30,40.09,$1.60,25.06
2021-03-31,42.48,$1.60,26.55
