Mattel PE Ratio Historical Data,Mattel PE Ratio Historical Data,Mattel PE Ratio Historical Data,Mattel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.64,,20.26
2024-06-30,16.26,$0.92,17.67
2024-03-31,19.81,$0.83,23.87
2023-12-31,18.88,$0.61,30.95
2023-09-30,22.03,$0.23,95.78
2023-06-30,19.54,$0.62,31.52
2023-03-31,18.41,$0.72,25.57
2022-12-31,17.84,$1.08,16.52
2022-09-30,18.94,$1.67,11.34
2022-06-30,22.33,$3.16,7.07
2022-03-31,22.21,$2.96,7.5
2021-12-31,21.56,$2.57,8.39
2021-09-30,18.56,$2.31,8.03
2021-06-30,20.1,$0.93,21.61
2021-03-31,19.92,$0.64,31.13
2020-12-31,17.45,$0.36,48.47
2020-09-30,11.7,$-0.01,0.0
2020-06-30,9.67,$-0.72,0.0
2020-03-31,8.81,$-0.72,0.0
2019-12-31,13.55,$-0.64,0.0
2019-09-30,11.39,$-0.60,0.0
2019-06-30,11.21,$-0.78,0.0
2019-03-31,13.0,$-1.17,0.0
2018-12-31,9.99,$-1.54,0.0
2018-09-30,15.7,$-2.40,0.0
2018-06-30,16.42,$-4.17,0.0
2018-03-31,13.15,$-3.63,0.0
2017-12-31,15.38,$-3.06,0.0
2017-09-30,15.48,$-1.74,0.0
2017-06-30,21.34,$0.69,30.92
2017-03-31,24.95,$0.79,31.58
2016-12-31,26.45,$0.91,29.06
2016-09-30,28.71,$1.04,27.61
2016-06-30,29.33,$1.02,28.76
2016-03-31,31.13,$1.05,29.65
2015-12-31,24.85,$1.09,22.8
2015-09-30,18.96,$0.90,21.06
2015-06-30,22.72,$1.21,18.78
2015-03-31,19.91,$1.32,15.09
2014-12-31,26.6,$1.46,18.22
2014-09-30,26.03,$2.09,12.45
2014-06-30,32.73,$2.33,14.05
2014-03-31,33.36,$2.46,13.56
2013-12-31,39.15,$2.60,15.06
2013-09-30,34.19,$2.40,14.25
2013-06-30,36.67,$2.23,16.45
2013-03-31,35.16,$2.30,15.29
2012-12-31,29.16,$2.21,13.19
2012-09-30,28.0,$2.41,11.62
2012-06-30,25.39,$2.23,11.39
2012-03-31,26.08,$2.18,11.97
2011-12-31,21.31,$2.21,9.64
2011-09-30,19.71,$2.03,9.71
2011-06-30,20.75,$1.94,10.69
2011-03-31,18.65,$1.85,10.08
2010-12-31,18.85,$1.87,10.08
2010-09-30,16.85,$1.87,9.01
2010-06-30,15.19,$1.73,8.78
2010-03-31,16.33,$1.65,9.9
2009-12-31,14.35,$1.44,9.96
