Manulife Financial Corp PE Ratio Historical Data,Manulife Financial Corp PE Ratio Historical Data,Manulife Financial Corp PE Ratio Historical Data,Manulife Financial Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.56,,17.66
2024-06-30,26.22,$1.73,15.15
2024-03-31,24.34,$1.72,14.15
2023-12-31,21.27,$1.93,11.02
2023-09-30,17.35,$2.00,8.67
2023-06-30,17.68,$2.13,8.3
2023-03-31,16.92,$2.18,7.76
2022-12-31,16.22,$2.82,5.75
2022-09-30,14.05,$2.94,4.78
2022-06-30,15.31,$3.06,5.0
2022-03-31,18.59,$3.72,5.0
2021-12-31,16.4,$2.84,5.78
2021-09-30,16.31,$2.71,6.02
2021-06-30,16.52,$2.85,5.8
2021-03-31,17.83,$2.02,8.83
2020-12-31,14.62,$2.20,6.64
2020-09-30,11.26,$1.97,5.72
2020-06-30,10.87,$1.46,7.45
2020-03-31,9.85,$1.76,5.59
2019-12-31,15.75,$2.09,7.53
2019-09-30,14.11,$1.84,7.67
2019-06-30,13.82,$2.16,6.4
2019-03-31,12.72,$2.08,6.11
2018-12-31,10.55,$1.80,5.86
2018-09-30,13.15,$0.94,13.99
2018-06-30,13.09,$0.79,16.57
2018-03-31,13.42,$0.77,17.43
2017-12-31,14.93,$0.74,20.18
2017-09-30,14.41,$1.40,10.3
2017-06-30,13.22,$1.38,9.58
2017-03-31,12.39,$1.18,10.5
2016-12-31,12.34,$1.05,11.76
2016-09-30,9.7,$1.12,8.66
2016-06-30,9.29,$0.92,10.1
2016-03-31,9.51,$0.91,10.45
2015-12-31,9.97,$0.84,11.87
2015-09-30,10.23,$1.02,10.03
2015-06-30,12.19,$1.30,9.38
2015-03-31,11.07,$1.51,7.33
2014-12-31,12.34,$1.59,7.76
2014-09-30,12.35,$1.93,6.4
2014-06-30,12.66,$1.95,6.49
2014-03-31,12.23,$1.62,7.55
2013-12-31,12.42,$1.50,8.28
2013-09-30,10.35,$1.46,7.09
2013-06-30,9.94,$0.80,12.43
2013-03-31,9.06,$0.50,18.12
2012-12-31,8.29,$0.86,9.64
2012-09-30,7.27,$0.25,29.07
2012-06-30,6.5,$-0.35,0.0
2012-03-31,8.0,$0.10,80.02
2011-12-31,6.21,$0.49,12.67
2011-09-30,6.55,$-0.01,0.0
2011-06-30,10.11,$-0.60,0.0
2010-12-31,9.69,$-0.23,0.0
2010-09-30,7.06,$-0.76,0.0
2010-06-30,8.07,$-0.32,0.0
2010-03-31,10.82,$2.02,5.36
2009-12-31,10.01,$0.85,11.78
2009-09-30,11.36,$0.89,12.76
