Transocean PE Ratio Historical Data,Transocean PE Ratio Historical Data,Transocean PE Ratio Historical Data,Transocean PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.26,,0.0
2024-06-30,5.35,$-0.45,0.0
2024-03-31,6.28,$-0.52,0.0
2023-12-31,6.35,$-1.27,0.0
2023-09-30,8.21,$-1.62,0.0
2023-06-30,7.01,$-1.38,0.0
2023-03-31,6.36,$-1.26,0.0
2022-12-31,4.56,$-0.88,0.0
2022-09-30,2.47,$-0.80,0.0
2022-06-30,3.33,$-0.96,0.0
2022-03-31,4.57,$-1.03,0.0
2021-12-31,2.76,$-0.93,0.0
2021-09-30,3.79,$-0.59,0.0
2021-06-30,4.52,$0.12,37.67
2021-03-31,3.55,$-0.52,0.0
2020-12-31,2.31,$-1.00,0.0
2020-09-30,0.81,$-1.02,0.0
2020-06-30,1.83,$-2.88,0.0
2020-03-31,1.16,$-2.41,0.0
2019-12-31,6.88,$-2.05,0.0
2019-09-30,4.47,$-2.45,0.0
2019-06-30,6.41,$-1.98,0.0
2019-03-31,8.71,$-4.10,0.0
2018-12-31,6.94,$-4.30,0.0
2018-09-30,13.95,$-4.10,0.0
2018-06-30,13.44,$-6.84,0.0
2018-03-31,9.9,$-8.70,0.0
2017-12-31,10.68,$-7.99,0.0
2017-09-30,10.76,$-7.11,0.0
2017-06-30,8.23,$-2.87,0.0
2017-03-31,12.45,$1.66,7.5
2016-12-31,14.74,$2.11,6.99
2016-09-30,10.66,$3.17,3.36
2016-06-30,11.89,$3.43,3.47
2016-03-31,9.14,$4.15,2.2
2015-12-31,12.38,$2.14,5.79
2015-09-30,12.92,$-1.56,0.0
2015-06-30,15.93,$-8.56,0.0
2015-03-31,14.5,$-7.88,0.0
2014-12-31,17.38,$-5.30,0.0
2014-09-30,29.5,$-2.62,0.0
2014-06-30,40.76,$5.00,8.15
2014-03-31,36.77,$4.23,8.69
2013-12-31,43.95,$3.86,11.39
2013-09-30,39.18,$4.48,8.75
2013-06-30,41.71,$1.92,21.72
2013-03-31,44.72,$0.22,203.26
2012-12-31,38.43,$-0.54,0.0
2012-09-30,38.63,$-20.42,0.0
2012-06-30,38.49,$-19.58,0.0
2012-03-31,47.07,$-18.24,0.0
2011-12-31,32.51,$-17.40,0.0
2011-09-30,39.74,$-1.29,0.0
2011-06-30,52.93,$0.08,661.68
2011-03-31,63.18,$1.82,34.71
2010-12-31,56.34,$2.97,18.97
2010-09-30,52.11,$7.72,6.75
2010-06-30,37.55,$8.76,4.29
2010-03-31,70.01,$9.03,7.75
2009-12-31,67.11,$9.85,6.81
