Halozyme Therapeutics PE Ratio Historical Data,Halozyme Therapeutics PE Ratio Historical Data,Halozyme Therapeutics PE Ratio Historical Data,Halozyme Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,52.28,,20.26
2024-06-30,52.36,$2.58,20.29
2024-03-31,40.68,$2.42,16.81
2023-12-31,36.96,$2.11,17.52
2023-09-30,38.2,$1.88,20.32
2023-06-30,36.07,$1.71,21.09
2023-03-31,38.19,$1.31,29.15
2022-12-31,56.9,$1.45,39.24
2022-09-30,39.54,$1.49,26.54
2022-06-30,44.0,$2.53,17.39
2022-03-31,39.88,$2.99,13.34
2021-12-31,40.21,$2.75,14.62
2021-09-30,40.68,$2.79,14.58
2021-06-30,45.41,$1.56,29.11
2021-03-31,41.69,$1.13,36.89
2020-12-31,42.71,$0.90,47.46
2020-09-30,26.28,$0.16,164.25
2020-06-30,26.81,$-0.26,0.0
2020-03-31,17.99,$-0.44,0.0
2019-12-31,17.73,$-0.41,0.0
2019-09-30,15.51,$-0.36,0.0
2019-03-31,16.1,$-0.35,0.0
2018-12-31,14.63,$-0.55,0.0
2018-09-30,18.17,$0.31,58.61
2018-06-30,16.87,$0.40,42.18
2018-03-31,19.59,$0.58,33.78
2017-12-31,20.26,$0.54,37.52
2019-06-30,17.18,$-0.57,0.0
2017-09-30,17.37,$-0.68,0.0
2017-06-30,12.82,$-0.93,0.0
2017-03-31,12.96,$-0.91,0.0
2016-12-31,9.88,$-0.81,0.0
2016-09-30,12.08,$-0.57,0.0
2016-06-30,8.63,$-0.53,0.0
2016-03-31,9.47,$-0.30,0.0
2015-12-31,17.33,$-0.26,0.0
2015-09-30,13.43,$-0.33,0.0
2015-06-30,22.58,$-0.30,0.0
2015-03-31,14.28,$-0.45,0.0
2014-12-31,9.65,$-0.55,0.0
2014-09-30,9.1,$-0.70,0.0
2014-06-30,9.88,$-0.71,0.0
2014-03-31,12.71,$-0.78,0.0
2013-12-31,14.99,$-0.73,0.0
2013-09-30,11.04,$-0.58,0.0
2013-06-30,7.95,$-0.59,0.0
2013-03-31,5.77,$-0.52,0.0
2012-12-31,6.71,$-0.49,0.0
2012-09-30,7.54,$-0.63,0.0
2012-06-30,8.86,$-0.40,0.0
2012-03-31,12.76,$-0.24,0.0
2011-12-31,9.51,$-0.20,0.0
2011-09-30,6.14,$-0.19,0.0
2011-06-30,6.91,$-0.37,0.0
2011-03-31,6.71,$-0.53,0.0
2010-12-31,7.92,$-0.56,0.0
2010-09-30,7.71,$-0.53,0.0
2010-06-30,7.04,$-0.56,0.0
2010-03-31,7.99,$-0.64,0.0
2009-12-31,5.87,$-0.69,0.0
