Beacon Roofing Supply PE Ratio Historical Data,Beacon Roofing Supply PE Ratio Historical Data,Beacon Roofing Supply PE Ratio Historical Data,Beacon Roofing Supply PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,95.64,,0.0
2024-06-30,90.5,$-0.61,0.0
2024-03-31,98.02,$-0.63,0.0
2023-12-31,87.02,$-0.47,0.0
2023-09-30,77.17,$-1.06,0.0
2023-06-30,82.98,$5.05,16.43
2023-03-31,58.85,$5.20,11.32
2022-12-31,52.79,$5.56,9.49
2022-09-30,54.72,$5.44,10.06
2022-06-30,51.36,$4.71,10.9
2022-03-31,59.28,$3.46,17.13
2021-12-31,57.35,$2.67,21.48
2021-09-30,47.76,$-1.33,0.0
2021-06-30,53.25,$-2.73,0.0
2021-03-31,52.32,$-5.47,0.0
2020-12-31,40.19,$-5.72,0.0
2020-06-30,26.37,$-2.48,0.0
2020-03-31,16.54,$-1.98,0.0
2019-12-31,31.98,$-1.19,0.0
2019-09-30,33.53,$-0.86,0.0
2019-06-30,36.72,$-0.31,0.0
2019-03-31,32.16,$-1.70,0.0
2018-12-31,31.72,$0.36,88.11
2018-06-30,42.62,$0.46,92.65
2018-03-31,53.07,$0.64,82.92
2017-12-31,63.76,$1.55,41.14
2017-09-30,51.25,$0.90,56.94
2017-06-30,49.0,$1.58,31.01
2017-03-31,49.16,$0.75,65.55
2016-12-31,46.07,$1.03,44.73
2016-06-30,45.47,$0.70,64.96
2016-03-31,41.01,$0.58,70.71
2015-12-31,41.18,$0.48,85.79
2015-09-30,32.49,$0.62,52.4
2015-06-30,33.22,$1.16,28.64
2015-03-31,31.3,$0.35,89.43
2014-12-31,27.8,$0.85,32.71
2014-06-30,33.12,$0.59,56.14
2014-03-31,38.66,$0.60,64.43
2013-12-31,40.28,$0.85,47.39
2013-09-30,36.87,$0.92,40.08
2013-06-30,37.88,$1.45,26.12
2013-03-31,38.66,$0.97,39.86
2012-12-31,33.28,$1.38,24.12
2012-06-30,25.22,$1.01,24.97
2012-03-31,25.76,$0.99,26.02
2011-12-31,20.23,$0.79,25.61
2011-09-30,15.99,$0.60,26.65
2011-06-30,22.82,$0.60,38.03
2011-03-31,20.47,$0.44,46.52
2010-12-31,17.87,$0.43,41.56
2010-09-30,14.57,$0.38,38.34
2010-06-30,18.02,$0.38,47.42
2010-03-31,19.13,$0.41,46.66
2009-12-31,16.0,$0.50,32.0
2009-09-30,15.98,$0.33,48.42
2009-06-30,14.46,$0.33,43.82
2009-03-31,13.39,$-0.05,0.0
2020-09-30,31.07,0,0.0
2018-09-30,36.19,0,0.0
