Credit Acceptance PE Ratio Historical Data,Credit Acceptance PE Ratio Historical Data,Credit Acceptance PE Ratio Historical Data,Credit Acceptance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,475.55,,34.04
2024-06-30,514.68,$13.97,36.84
2024-03-31,551.55,$19.49,28.3
2023-12-31,532.73,$22.02,24.19
2023-09-30,460.12,$24.31,18.93
2023-06-30,507.93,$25.37,20.02
2023-03-31,436.04,$31.62,13.79
2022-12-31,474.4,$38.95,12.18
2022-09-30,438.0,$43.97,9.96
2022-06-30,473.41,$53.27,8.89
2022-03-31,550.37,$62.51,8.8
2021-12-31,687.68,$59.39,11.58
2021-09-30,585.3,$54.22,10.79
2021-06-30,454.11,$51.99,8.73
2021-03-31,360.23,$40.21,8.96
2020-12-31,346.14,$23.78,14.56
2020-09-30,338.64,$22.95,14.76
2020-06-30,419.01,$18.12,23.12
2020-03-31,255.69,$21.40,11.95
2019-12-31,442.33,$34.66,12.76
2019-09-30,461.31,$33.85,13.63
2019-06-30,483.83,$32.87,14.72
2019-03-31,451.93,$31.94,14.15
2018-12-31,381.76,$29.46,12.96
2018-09-30,438.07,$30.77,14.24
2018-06-30,353.4,$28.21,12.53
2018-03-31,330.41,$25.55,12.93
2017-12-31,323.48,$24.10,13.42
2017-09-30,280.17,$19.33,14.49
2017-06-30,257.14,$18.35,14.01
2017-03-31,199.41,$17.43,11.44
2016-12-31,217.51,$16.34,13.31
2016-09-30,201.07,$15.85,12.69
2016-06-30,185.08,$15.17,12.2
2016-03-31,181.55,$14.54,12.49
2015-12-31,214.02,$14.32,14.95
2015-09-30,196.87,$13.93,14.13
2015-06-30,246.18,$13.78,17.87
2015-03-31,195.0,$13.30,14.66
2014-12-31,136.41,$12.01,11.36
2014-09-30,126.07,$11.36,11.1
2014-06-30,123.1,$10.73,11.47
2014-03-31,142.15,$10.23,13.9
2013-12-31,129.99,$10.59,12.27
2013-09-30,110.81,$10.19,10.87
2013-06-30,105.05,$9.56,10.99
2013-03-31,122.14,$9.18,13.31
2012-12-31,101.68,$8.62,11.8
2012-09-30,85.51,$8.13,10.52
2012-06-30,84.43,$7.92,10.66
2012-03-31,101.01,$7.46,13.54
2011-12-31,82.28,$7.11,11.57
2011-09-30,64.36,$6.89,9.34
2011-06-30,84.47,$6.46,13.08
2011-03-31,70.96,$6.29,11.28
2010-12-31,62.77,$5.73,10.95
2010-09-30,60.56,$5.31,11.4
2010-06-30,48.77,$5.12,9.53
2010-03-31,41.24,$4.72,8.74
2009-12-31,42.1,$4.64,9.07
