V.F PE Ratio Historical Data,V.F PE Ratio Historical Data,V.F PE Ratio Historical Data,V.F PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.79,,0.0
2024-06-30,13.43,$-3.02,0.0
2024-03-31,15.16,$-2.50,0.0
2023-12-31,18.47,$-1.97,0.0
2023-09-30,17.28,$-0.55,0.0
2023-06-30,18.37,$0.30,61.24
2023-03-31,21.71,$0.31,70.03
2022-12-31,25.83,$1.07,24.14
2022-09-30,27.48,$1.08,25.44
2022-06-30,40.12,$2.57,15.61
2022-03-31,51.12,$3.53,14.48
2021-12-31,65.22,$3.55,18.37
2021-09-30,59.28,$3.11,19.06
2021-06-30,72.11,$2.59,27.84
2021-03-31,69.81,$1.04,67.12
2020-12-31,74.14,$-0.41,0.0
2020-09-30,60.65,$-0.13,0.0
2020-06-30,52.24,$0.82,63.71
2020-03-31,46.02,$1.67,27.56
2019-12-31,84.15,$3.21,26.22
2019-09-30,74.75,$3.21,23.29
2019-06-30,73.02,$2.86,25.53
2019-03-31,72.22,$3.14,23.0
2018-12-31,58.93,$2.82,20.9
2018-09-30,76.68,$1.66,46.19
2018-06-30,66.54,$1.37,48.57
2018-03-31,60.17,$1.24,48.53
2017-12-31,59.7,$1.74,34.31
2017-09-30,50.96,$1.74,29.29
2017-06-30,45.87,$1.96,23.4
2017-03-31,43.43,$1.81,24.0
2016-12-31,41.82,$1.92,21.78
2016-09-30,43.62,$1.92,22.72
2016-06-30,47.56,$1.80,26.42
2016-03-31,49.8,$2.08,23.94
2015-12-31,47.6,$1.47,32.38
2015-09-30,51.86,$2.55,20.34
2015-06-30,52.78,$1.84,28.69
2014-12-31,56.19,$2.11,26.63
2014-09-30,49.32,$2.11,23.38
2014-06-30,46.87,$2.00,23.41
2014-03-31,45.85,$1.95,23.48
2013-12-31,45.99,$1.88,24.43
2013-09-30,36.54,$1.88,19.41
2013-06-30,35.28,$1.77,19.99
2013-03-31,30.52,$1.81,16.91
2012-12-31,27.32,$1.68,16.24
2012-09-30,28.67,$1.68,17.04
2012-06-30,23.9,$1.50,15.93
2012-03-31,26.01,$1.82,14.29
2011-12-31,22.51,$1.64,13.77
2011-09-30,21.43,$2.09,10.25
2015-03-31,56.74,$1.42,40.03
2011-06-30,19.04,$1.30,14.62
2011-03-31,17.16,$1.26,13.62
2010-12-31,14.92,$1.17,12.75
2010-09-30,13.92,$1.17,11.9
2010-06-30,12.13,$1.10,11.03
2010-03-31,13.55,$1.02,13.29
2009-12-31,12.29,$0.88,13.93
