"Boise Cascade, L.L.C PE Ratio Historical Data","Boise Cascade, L.L.C PE Ratio Historical Data","Boise Cascade, L.L.C PE Ratio Historical Data","Boise Cascade, L.L.C PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,142.2,,12.4
2024-06-30,114.44,$11.47,9.98
2024-03-31,147.22,$12.30,11.97
2023-12-31,123.98,$12.12,10.23
2023-09-30,94.27,$12.63,7.46
2023-06-30,82.51,$14.57,5.66
2023-03-31,55.33,$16.39,3.38
2022-12-31,59.94,$21.57,2.78
2022-09-30,51.11,$22.88,2.23
2022-06-30,51.04,$19.67,2.59
2022-03-31,57.65,$21.80,2.64
2021-12-31,59.0,$17.95,3.29
2021-09-30,42.67,$14.35,2.97
2021-06-30,44.4,$14.65,3.03
2021-03-31,45.45,$7.88,5.77
2020-12-31,36.24,$4.49,8.07
2020-09-30,29.09,$4.52,6.44
2020-06-30,27.35,$2.62,10.44
2019-12-31,26.42,$2.06,12.82
2019-09-30,22.9,$-0.16,0.0
2019-06-30,19.7,$-0.54,0.0
2019-03-31,18.68,$-0.90,0.0
2018-12-31,16.59,$-0.13,0.0
2020-03-31,17.24,$2.66,6.48
2018-09-30,25.52,$2.84,8.98
2018-06-30,30.25,$3.30,9.17
2018-03-31,26.09,$2.81,9.28
2017-12-31,26.92,$2.13,12.64
2017-09-30,23.5,$1.75,13.43
2017-06-30,20.47,$1.20,17.06
2017-03-31,17.98,$1.12,16.05
2016-12-31,15.15,$0.99,15.3
2016-09-30,17.1,$0.94,18.2
2016-06-30,15.45,$1.24,12.46
2016-03-31,13.95,$1.26,11.07
2015-12-31,17.19,$1.32,13.02
2015-09-30,16.98,$1.66,10.23
2015-06-30,24.7,$1.92,12.86
2015-03-31,25.23,$2.08,12.13
2014-12-31,25.02,$2.03,12.32
2014-09-30,20.3,$1.88,10.8
2014-06-30,19.29,$1.45,13.3
2014-03-31,19.29,$1.02,18.91
2013-12-31,19.85,$3.03,6.55
